ville,prix_appartement,min_appartement,max_appartement,prix_maison,min_maison,max_maison,loyer_appartement,loyer_min_appartement,loyer_max_appartement,loyer_maison,loyer_min_maison,loyer_max_maison,url,Code_insee
La Chapelle-des-Marais,2567.0,1620.0,4112.0,2417.0,1016.0,3912.0,11.6,8.9,20.5,11.2,7.6,13.2,https://www.meilleursagents.com/prix-immobilier/la-chapelle-des-marais-44410/,44030
La Chapelle-Glain,1696.0,964.0,2467.0,1296.0,519.0,2449.0,10.2,6.4,16.1,9.8,6.5,13.2,https://www.meilleursagents.com/prix-immobilier/la-chapelle-glain-44670/,44031
La Chapelle-Heulin,2793.0,2038.0,3722.0,2710.0,1084.0,3851.0,12.7,9.3,17.1,13.3,8.5,17.0,https://www.meilleursagents.com/prix-immobilier/la-chapelle-heulin-44330/,44032
La Chapelle-Launay,2528.0,1414.0,3688.0,2318.0,927.0,3512.0,12.6,9.1,17.0,13.1,8.6,17.3,https://www.meilleursagents.com/prix-immobilier/la-chapelle-launay-44260/,44033
Châteaubriant,1976.0,1045.0,3136.0,1825.0,849.0,2969.0,11.3,7.6,17.6,11.5,8.0,16.0,https://www.meilleursagents.com/prix-immobilier/chateaubriant-44110/,44036
Château-Thébaud,2886.0,2007.0,3844.0,2595.0,1038.0,3879.0,13.1,9.7,17.1,12.8,8.6,16.4,https://www.meilleursagents.com/prix-immobilier/chateau-thebaud-44690/,44037
Chauvé,2355.0,1085.0,3635.0,2729.0,1091.0,4145.0,11.5,9.5,19.8,13.1,9.1,16.3,https://www.meilleursagents.com/prix-immobilier/chauve-44320/,44038
Cheix-en-Retz,2984.0,2047.0,4140.0,2746.0,1098.0,3698.0,12.9,8.6,16.6,13.2,8.0,16.6,https://www.meilleursagents.com/prix-immobilier/cheix-en-retz-44640/,44039
La Chevrolière,3007.0,2114.0,3721.0,2550.0,1173.0,3390.0,13.9,9.2,18.1,12.9,9.2,15.3,https://www.meilleursagents.com/prix-immobilier/la-chevroliere-44118/,44041
Passay,3007.0,2114.0,3721.0,2550.0,1173.0,3390.0,13.9,9.2,18.1,12.9,9.2,15.3,https://www.meilleursagents.com/prix-immobilier/passay-44118/,44041
Clisson,3598.0,2241.0,4621.0,3209.0,1555.0,5039.0,13.2,9.9,17.0,12.0,7.8,15.8,https://www.meilleursagents.com/prix-immobilier/clisson-44190/,44043
Conquereuil,1748.0,1131.0,2711.0,1565.0,628.0,3078.0,9.8,6.2,15.6,9.9,6.0,14.0,https://www.meilleursagents.com/prix-immobilier/conquereuil-44290/,44044
Cordemais,2322.0,1052.0,3743.0,2588.0,1420.0,4341.0,12.4,8.7,16.6,13.2,8.2,16.7,https://www.meilleursagents.com/prix-immobilier/cordemais-44360/,44045
Corsept,2271.0,908.0,3602.0,2831.0,1380.0,3994.0,13.7,9.8,20.7,14.3,9.9,18.2,https://www.meilleursagents.com/prix-immobilier/corsept-44560/,44046
Couëron,3143.0,2116.0,4416.0,2914.0,1470.0,4333.0,12.7,9.7,18.0,13.1,9.6,17.1,https://www.meilleursagents.com/prix-immobilier/coueron-44220/,44047
La Chabossiere,3143.0,2116.0,4416.0,2914.0,1470.0,4333.0,12.7,9.7,18.0,13.1,9.6,17.1,https://www.meilleursagents.com/prix-immobilier/la-chabossiere-44220/,44047
Couffé,2463.0,1380.0,4435.0,2141.0,908.0,3136.0,12.6,8.7,16.5,12.4,9.0,15.7,https://www.meilleursagents.com/prix-immobilier/couffe-44521/,44048
Le Croisic,4565.0,2432.0,7543.0,4789.0,2296.0,8277.0,13.3,8.6,21.3,14.7,11.8,19.1,https://www.meilleursagents.com/prix-immobilier/le-croisic-44490/,44049
Crossac,2578.0,1586.0,3523.0,2387.0,955.0,3537.0,11.7,9.6,20.3,11.3,7.5,15.2,https://www.meilleursagents.com/prix-immobilier/crossac-44160/,44050
Derval,1717.0,1055.0,2835.0,1825.0,730.0,2737.0,11.5,6.3,20.3,9.8,6.9,12.6,https://www.meilleursagents.com/prix-immobilier/derval-44590/,44051
Drefféac,2552.0,1487.0,3563.0,2345.0,965.0,3443.0,11.7,9.6,20.2,10.2,7.2,12.3,https://www.meilleursagents.com/prix-immobilier/dreffeac-44530/,44053
Erbray,1759.0,931.0,2678.0,1649.0,660.0,2557.0,10.4,7.1,17.0,10.2,7.1,12.8,https://www.meilleursagents.com/prix-immobilier/erbray-44110/,44054
La Baule-Escoublac,7022.0,3516.0,12661.0,6737.0,2982.0,11831.0,14.8,9.6,23.1,15.6,12.4,20.4,https://www.meilleursagents.com/prix-immobilier/la-baule-escoublac-44500/,44055
Fégréac,2405.0,1426.0,4159.0,1646.0,658.0,3138.0,10.0,5.7,17.5,9.6,5.8,14.6,https://www.meilleursagents.com/prix-immobilier/fegreac-44460/,44057
Fercé,1901.0,1026.0,2732.0,1572.0,629.0,2632.0,10.4,6.4,17.1,10.1,7.7,13.6,https://www.meilleursagents.com/prix-immobilier/ferce-44660/,44058
Frossay,2327.0,947.0,4366.0,2555.0,1083.0,4115.0,11.6,9.6,20.1,13.1,9.1,17.7,https://www.meilleursagents.com/prix-immobilier/frossay-44320/,44061
Le Gâvre,1960.0,1395.0,2551.0,1893.0,757.0,2996.0,11.4,8.0,18.7,11.3,7.9,14.8,https://www.meilleursagents.com/prix-immobilier/le-gavre-44130/,44062
Gétigné,2505.0,1735.0,3353.0,2460.0,1046.0,3782.0,12.6,8.6,20.9,12.2,8.4,15.9,https://www.meilleursagents.com/prix-immobilier/getigne-44190/,44063
Gorges,3595.0,2395.0,4443.0,2704.0,1082.0,3919.0,12.8,9.4,17.1,13.0,9.2,16.9,https://www.meilleursagents.com/prix-immobilier/gorges-44190/,44064
Grand-Auverné,2366.0,1192.0,3595.0,1460.0,584.0,2333.0,11.2,8.1,18.3,10.2,6.4,14.4,https://www.meilleursagents.com/prix-immobilier/grand-auverne-44520/,44065
Guémené-Penfao,2427.0,1239.0,3395.0,1680.0,672.0,2855.0,9.8,6.0,15.2,9.9,6.0,14.1,https://www.meilleursagents.com/prix-immobilier/guemene-penfao-44290/,44067
Besle sur Vilaine,2427.0,1239.0,3395.0,1680.0,672.0,2855.0,9.8,6.0,15.2,9.9,6.0,14.1,https://www.meilleursagents.com/prix-immobilier/besle-sur-vilaine-44290/,44067
