ville,prix_appartement,min_appartement,max_appartement,prix_maison,min_maison,max_maison,loyer_appartement,loyer_min_appartement,loyer_max_appartement,loyer_maison,loyer_min_maison,loyer_max_maison,url,Code_insee
Rezé,2986.0,2122.0,4338.0,3118.0,1554.0,4975.0,13.7,10.4,21.4,12.0,10.2,15.0,https://www.meilleursagents.com/prix-immobilier/reze-44400/,44143
Riaillé,2550.0,1359.0,3925.0,1711.0,685.0,2647.0,9.5,5.3,16.3,9.8,6.6,13.0,https://www.meilleursagents.com/prix-immobilier/riaille-44440/,44144
Rouans,2565.0,1634.0,3683.0,2606.0,1042.0,4182.0,13.0,10.1,18.5,12.6,8.7,16.4,https://www.meilleursagents.com/prix-immobilier/rouans-44640/,44145
Rougé,1896.0,1011.0,2724.0,1424.0,570.0,2693.0,10.4,7.1,14.0,9.9,6.5,13.2,https://www.meilleursagents.com/prix-immobilier/rouge-44660/,44146
Ruffigné,2265.0,1475.0,3139.0,1278.0,511.0,2174.0,10.6,6.1,19.0,10.6,6.9,14.5,https://www.meilleursagents.com/prix-immobilier/ruffigne-44660/,44148
Saffré,2629.0,1431.0,4115.0,2055.0,854.0,3315.0,10.7,7.4,17.7,10.6,7.0,13.6,https://www.meilleursagents.com/prix-immobilier/saffre-44390/,44149
Saint-Aignan-Grandlieu,3200.0,2254.0,4217.0,2647.0,1156.0,3829.0,12.5,9.6,16.2,13.4,9.5,17.3,https://www.meilleursagents.com/prix-immobilier/saint-aignan-grandlieu-44860/,44150
Saint-André-des-Eaux,3765.0,2039.0,5126.0,3722.0,1557.0,6018.0,14.0,9.5,19.9,14.4,9.2,18.9,https://www.meilleursagents.com/prix-immobilier/saint-andre-des-eaux-44117/,44151
Sainte-Anne-sur-Brivet,2556.0,1494.0,3564.0,2540.0,1233.0,4304.0,11.6,9.1,20.0,10.4,6.8,12.8,https://www.meilleursagents.com/prix-immobilier/sainte-anne-sur-brivet-44160/,44152
Saint-Aubin-des-Châteaux,1761.0,913.0,2778.0,1607.0,667.0,3004.0,10.2,5.9,17.6,10.5,7.9,13.7,https://www.meilleursagents.com/prix-immobilier/saint-aubin-des-chateaux-44110/,44153
Saint-Brevin-les-Pins,4517.0,2680.0,6697.0,3958.0,1891.0,6475.0,13.7,9.1,19.5,14.2,11.0,18.5,https://www.meilleursagents.com/prix-immobilier/saint-brevin-les-pins-44250/,44154
Mindin,4517.0,2680.0,6697.0,3958.0,1891.0,6475.0,13.7,9.1,19.5,14.2,11.0,18.5,https://www.meilleursagents.com/prix-immobilier/mindin-44250/,44154
Saint Brevin l'Ocean,4517.0,2680.0,6697.0,3958.0,1891.0,6475.0,13.7,9.1,19.5,14.2,11.0,18.5,https://www.meilleursagents.com/prix-immobilier/saint-brevin-l-ocean-44250/,44154
Saint-Colomban,2274.0,1683.0,3191.0,2316.0,926.0,3501.0,13.9,9.9,19.5,12.4,9.0,14.8,https://www.meilleursagents.com/prix-immobilier/saint-colomban-44310/,44155
Corcoué-sur-Logne,2217.0,1615.0,3066.0,1926.0,800.0,2968.0,11.5,9.2,19.2,11.3,7.7,14.6,https://www.meilleursagents.com/prix-immobilier/corcoue-sur-logne-44650/,44156
La Benate,2217.0,1615.0,3066.0,1926.0,800.0,2968.0,11.5,9.2,19.2,11.3,7.7,14.6,https://www.meilleursagents.com/prix-immobilier/la-benate-44650/,44156
Saint Jean de Corcoue,2217.0,1615.0,3066.0,1926.0,800.0,2968.0,11.5,9.2,19.2,11.3,7.7,14.6,https://www.meilleursagents.com/prix-immobilier/saint-jean-de-corcoue-44650/,44156
Saint-Étienne-de-Mer-Morte,2652.0,1424.0,3599.0,2046.0,818.0,3279.0,11.2,9.0,18.7,11.1,7.1,14.1,https://www.meilleursagents.com/prix-immobilier/saint-etienne-de-mer-morte-44270/,44157
Saint-Étienne-de-Montluc,3054.0,1374.0,3949.0,2883.0,1153.0,4440.0,14.2,11.4,20.8,14.6,10.5,20.7,https://www.meilleursagents.com/prix-immobilier/saint-etienne-de-montluc-44360/,44158
Saint-Fiacre-sur-Maine,3323.0,1868.0,5078.0,2764.0,1497.0,4452.0,13.5,8.9,18.5,13.0,9.2,17.1,https://www.meilleursagents.com/prix-immobilier/saint-fiacre-sur-maine-44690/,44159
Saint-Gildas-des-Bois,2533.0,1471.0,3543.0,1931.0,772.0,3142.0,10.8,7.9,17.6,11.0,8.8,13.4,https://www.meilleursagents.com/prix-immobilier/saint-gildas-des-bois-44530/,44161
Vair-sur-Loire,1937.0,1009.0,3875.0,2122.0,849.0,3382.0,11.4,7.9,20.5,11.7,8.9,16.0,https://www.meilleursagents.com/prix-immobilier/anetz-44150/,44163
Vair-sur-Loire,1937.0,1009.0,3875.0,2122.0,849.0,3382.0,11.4,7.9,20.5,11.7,8.9,16.0,https://www.meilleursagents.com/prix-immobilier/saint-herblon-44150/,44163
Saint-Hilaire-de-Chaléons,2589.0,1506.0,3437.0,2297.0,919.0,3523.0,11.4,9.4,19.7,11.8,8.0,14.9,https://www.meilleursagents.com/prix-immobilier/saint-hilaire-de-chaleons-44680/,44164
Saint-Hilaire-de-Clisson,2487.0,1778.0,3238.0,2314.0,926.0,3139.0,12.8,9.3,17.9,12.0,8.8,15.4,https://www.meilleursagents.com/prix-immobilier/saint-hilaire-de-clisson-44190/,44165
Saint-Jean-de-Boiseau,3087.0,2163.0,4016.0,2737.0,1206.0,4035.0,14.3,11.0,18.5,16.1,11.1,21.6,https://www.meilleursagents.com/prix-immobilier/saint-jean-de-boiseau-44640/,44166
Saint-Joachim,2475.0,1289.0,3202.0,2230.0,1005.0,3681.0,10.4,5.9,17.7,11.7,7.0,17.7,https://www.meilleursagents.com/prix-immobilier/saint-joachim-44720/,44168
Saint-Julien-de-Concelles,3298.0,2197.0,4367.0,2737.0,1145.0,4116.0,13.2,9.9,17.4,13.6,8.8,16.2,https://www.meilleursagents.com/prix-immobilier/saint-julien-de-concelles-44450/,44169
Saint-Julien-de-Vouvantes,1791.0,850.0,2882.0,1230.0,492.0,2459.0,11.1,8.1,18.0,9.2,6.4,13.5,https://www.meilleursagents.com/prix-immobilier/saint-julien-de-vouvantes-44670/,44170
Saint-Léger-les-Vignes,3224.0,2565.0,4312.0,2677.0,1285.0,3779.0,13.1,9.3,17.4,13.2,8.8,15.9,https://www.meilleursagents.com/prix-immobilier/saint-leger-les-vignes-44710/,44171
Sainte-Luce-sur-Loire,3566.0,2579.0,4737.0,3226.0,1862.0,4766.0,13.1,10.2,19.3,11.8,10.0,15.3,https://www.meilleursagents.com/prix-immobilier/sainte-luce-sur-loire-44980/,44172
Saint-Lumine-de-Clisson,2484.0,1869.0,3303.0,2351.0,1284.0,3579.0,13.0,9.4,18.2,12.8,9.3,17.4,https://www.meilleursagents.com/prix-immobilier/saint-lumine-de-clisson-44190/,44173
Saint-Lumine-de-Coutais,2708.0,1459.0,3664.0,2179.0,906.0,3135.0,11.2,9.0,18.8,11.2,7.3,14.7,https://www.meilleursagents.com/prix-immobilier/saint-lumine-de-coutais-44310/,44174
Saint-Lyphard,3535.0,2270.0,4799.0,3160.0,1264.0,5135.0,11.9,7.8,17.0,13.0,8.3,17.0,https://www.meilleursagents.com/prix-immobilier/saint-lyphard-44410/,44175
Saint-Malo-de-Guersac,2559.0,1287.0,3308.0,2433.0,1027.0,3838.0,11.7,9.0,20.8,11.2,7.5,15.1,https://www.meilleursagents.com/prix-immobilier/saint-malo-de-guersac-44550/,44176
Saint-Mars-de-Coutais,2693.0,1471.0,3630.0,2354.0,942.0,3422.0,12.5,9.2,17.5,13.0,9.1,16.2,https://www.meilleursagents.com/prix-immobilier/saint-mars-de-coutais-44680/,44178
Saint-Mars-du-Désert,2924.0,1473.0,4803.0,2535.0,1076.0,3760.0,12.9,9.1,17.6,12.8,9.0,16.0,https://www.meilleursagents.com/prix-immobilier/saint-mars-du-desert-44850/,44179
Bonnœuvre,2520.0,1320.0,4232.0,1679.0,672.0,2940.0,9.5,5.4,16.1,10.0,7.3,13.9,https://www.meilleursagents.com/prix-immobilier/bonnoeuvre-44540/,44180
Maumusson,1946.0,1075.0,3891.0,2099.0,852.0,3230.0,9.0,6.0,14.9,10.3,7.2,14.5,https://www.meilleursagents.com/prix-immobilier/maumusson-44540/,44180
Saint-Mars-la-Jaille,2088.0,1101.0,3775.0,1694.0,678.0,2988.0,9.1,5.3,15.9,9.4,6.4,11.9,https://www.meilleursagents.com/prix-immobilier/saint-mars-la-jaille-44540/,44180
Saint-Sulpice-des-Landes,2329.0,1201.0,3746.0,1668.0,667.0,2961.0,8.8,4.9,15.8,9.2,6.2,11.7,https://www.meilleursagents.com/prix-immobilier/saint-sulpice-des-landes-44540/,44180
Vritz,1861.0,891.0,3471.0,1608.0,643.0,3215.0,10.9,8.0,17.9,9.3,6.1,13.3,https://www.meilleursagents.com/prix-immobilier/vritz-44540/,44180
Tharon Plage,4439.0,2582.0,6507.0,3955.0,1592.0,6830.0,13.6,10.0,20.7,13.8,10.8,18.4,https://www.meilleursagents.com/prix-immobilier/tharon-plage-44730/,44182
Saint-Molf,3591.0,2356.0,4951.0,3175.0,1270.0,4835.0,11.9,7.8,17.0,13.0,7.8,15.9,https://www.meilleursagents.com/prix-immobilier/saint-molf-44350/,44183
Saint-Nazaire,3030.0,1912.0,4383.0,3182.0,1678.0,5229.0,12.7,8.1,20.5,14.6,9.9,19.7,https://www.meilleursagents.com/prix-immobilier/saint-nazaire-44600/,44184
Saint-Nicolas-de-Redon,2658.0,1209.0,3803.0,1826.0,730.0,3060.0,11.5,8.7,16.8,11.1,7.3,14.6,https://www.meilleursagents.com/prix-immobilier/saint-nicolas-de-redon-44460/,44185
Sainte-Pazanne,2636.0,1603.0,3378.0,2701.0,1146.0,3672.0,12.9,9.4,19.8,12.7,8.9,15.8,https://www.meilleursagents.com/prix-immobilier/sainte-pazanne-44680/,44186
Saint-Père-en-Retz,2420.0,1138.0,3588.0,2787.0,1115.0,4374.0,11.6,9.6,20.0,12.2,8.2,16.5,https://www.meilleursagents.com/prix-immobilier/saint-pere-en-retz-44320/,44187
Saint-Philbert-de-Grand-Lieu,2908.0,1960.0,3609.0,2637.0,1241.0,3866.0,12.5,9.7,17.8,12.7,9.1,16.2,https://www.meilleursagents.com/prix-immobilier/saint-philbert-de-grand-lieu-44310/,44188
Sainte-Reine-de-Bretagne,2563.0,1532.0,4247.0,2346.0,938.0,3736.0,11.7,9.6,20.3,11.1,7.4,13.0,https://www.meilleursagents.com/prix-immobilier/sainte-reine-de-bretagne-44160/,44189
Saint-Viaud,2262.0,905.0,3785.0,2630.0,1110.0,4256.0,11.6,9.5,20.1,11.7,7.8,15.7,https://www.meilleursagents.com/prix-immobilier/saint-viaud-44320/,44192
Saint-Vincent-des-Landes,1756.0,926.0,2801.0,1394.0,558.0,2529.0,9.7,5.7,15.3,10.9,6.8,14.4,https://www.meilleursagents.com/prix-immobilier/saint-vincent-des-landes-44590/,44193
Savenay,2595.0,1403.0,3835.0,2456.0,1073.0,3865.0,12.7,9.4,19.8,13.6,9.4,17.9,https://www.meilleursagents.com/prix-immobilier/savenay-44260/,44195
Sévérac,2562.0,1235.0,3683.0,1849.0,740.0,3357.0,9.8,5.7,15.4,9.4,5.6,14.2,https://www.meilleursagents.com/prix-immobilier/severac-44530/,44196
Sion-les-Mines,1739.0,930.0,2748.0,1367.0,547.0,2734.0,10.2,5.8,17.4,10.5,6.5,14.6,https://www.meilleursagents.com/prix-immobilier/sion-les-mines-44590/,44197
Les Sorinières,3334.0,2595.0,4393.0,3035.0,1367.0,4367.0,13.8,11.2,17.0,13.4,9.4,17.3,https://www.meilleursagents.com/prix-immobilier/les-sorinieres-44840/,44198
Soudan,1856.0,1013.0,2625.0,1445.0,578.0,2669.0,10.5,5.9,18.8,10.1,7.2,12.9,https://www.meilleursagents.com/prix-immobilier/soudan-44110/,44199
Soulvache,2326.0,1582.0,3223.0,1331.0,533.0,2663.0,10.3,6.3,17.0,9.8,7.3,13.3,https://www.meilleursagents.com/prix-immobilier/soulvache-44660/,44200
Sucé-sur-Erdre,3854.0,2544.0,5501.0,3558.0,1658.0,6598.0,13.5,10.3,17.6,14.1,11.0,16.9,https://www.meilleursagents.com/prix-immobilier/suce-sur-erdre-44240/,44201
Teillé,2525.0,1330.0,3843.0,1964.0,805.0,3290.0,11.4,8.7,19.5,11.4,8.0,15.6,https://www.meilleursagents.com/prix-immobilier/teille-44440/,44202
Le Temple-de-Bretagne,2148.0,1453.0,2999.0,2469.0,1163.0,3659.0,12.8,9.5,19.9,12.2,8.4,16.9,https://www.meilleursagents.com/prix-immobilier/le-temple-de-bretagne-44360/,44203
Thouaré-sur-Loire,3333.0,2511.0,4316.0,3165.0,1843.0,4750.0,13.4,10.2,17.4,14.0,10.2,17.4,https://www.meilleursagents.com/prix-immobilier/thouare-sur-loire-44470/,44204
Les Touches,2669.0,1376.0,4186.0,2190.0,889.0,3098.0,13.2,10.0,21.5,12.5,7.7,17.6,https://www.meilleursagents.com/prix-immobilier/les-touches-44390/,44205
Touvois,2550.0,1644.0,3371.0,1937.0,775.0,2994.0,11.2,9.0,18.8,10.5,7.1,13.9,https://www.meilleursagents.com/prix-immobilier/touvois-44650/,44206
Trans-sur-Erdre,2586.0,1356.0,4006.0,1794.0,718.0,3031.0,10.4,6.1,14.4,10.2,6.7,14.1,https://www.meilleursagents.com/prix-immobilier/trans-sur-erdre-44440/,44207
Treffieux,1721.0,1014.0,2911.0,1563.0,625.0,2746.0,11.1,7.1,18.7,11.2,7.2,15.5,https://www.meilleursagents.com/prix-immobilier/treffieux-44170/,44208
Trignac,2534.0,1585.0,3359.0,2546.0,1124.0,4048.0,12.3,8.1,18.8,14.3,12.1,18.2,https://www.meilleursagents.com/prix-immobilier/trignac-44570/,44210
La Turballe,4620.0,2471.0,7057.0,4255.0,1702.0,7250.0,13.3,8.8,19.1,13.9,9.4,18.6,https://www.meilleursagents.com/prix-immobilier/la-turballe-44420/,44211
Trescalan,4620.0,2471.0,7057.0,4255.0,1702.0,7250.0,13.3,8.8,19.1,13.9,9.4,18.6,https://www.meilleursagents.com/prix-immobilier/trescalan-44420/,44211
Loireauxence,2066.0,1094.0,4132.0,1897.0,759.0,3346.0,9.8,6.6,17.2,9.8,6.7,14.3,https://www.meilleursagents.com/prix-immobilier/belligne-44370/,44213
Loireauxence,2066.0,1094.0,4132.0,1897.0,759.0,3346.0,9.8,6.6,17.2,9.8,6.7,14.3,https://www.meilleursagents.com/prix-immobilier/la-rouxiere-44370/,44213
Loireauxence,2066.0,1094.0,4132.0,1897.0,759.0,3346.0,9.8,6.6,17.2,9.8,6.7,14.3,https://www.meilleursagents.com/prix-immobilier/varades-44370/,44213
Vay,1760.0,1075.0,2934.0,1730.0,692.0,2962.0,11.7,7.9,15.7,10.5,7.7,14.1,https://www.meilleursagents.com/prix-immobilier/vay-44170/,44214
Beautour,3668.0,2027.0,5389.0,3489.0,1598.0,5559.0,13.4,10.2,21.1,12.2,10.2,15.7,https://www.meilleursagents.com/prix-immobilier/beautour-44120/,44215
Vieillevigne,2246.0,1608.0,3044.0,2137.0,861.0,3676.0,11.5,8.9,20.1,11.5,7.1,14.4,https://www.meilleursagents.com/prix-immobilier/vieillevigne-44116/,44216
Vigneux-de-Bretagne,3163.0,1831.0,3971.0,2854.0,1355.0,4580.0,14.2,10.6,20.9,15.3,11.7,20.4,https://www.meilleursagents.com/prix-immobilier/vigneux-de-bretagne-44360/,44217
La Paquelais,3163.0,1831.0,3971.0,2854.0,1355.0,4580.0,14.2,10.6,20.9,15.3,11.7,20.4,https://www.meilleursagents.com/prix-immobilier/la-paquelais-44360/,44217
Villepot,1888.0,998.0,2715.0,1407.0,563.0,2267.0,10.3,7.0,15.8,10.2,6.5,13.0,https://www.meilleursagents.com/prix-immobilier/villepot-44110/,44218
Vue,2547.0,1562.0,3692.0,2376.0,1021.0,3762.0,11.5,9.4,19.8,11.9,8.3,15.6,https://www.meilleursagents.com/prix-immobilier/vue-44640/,44220
La Chevallerais,3239.0,2190.0,4154.0,2329.0,957.0,3341.0,12.7,9.0,16.9,11.7,8.2,14.9,https://www.meilleursagents.com/prix-immobilier/la-chevallerais-44810/,44221
La Roche-Blanche,1925.0,1017.0,3849.0,2042.0,970.0,3279.0,11.4,7.8,20.4,11.5,8.7,15.6,https://www.meilleursagents.com/prix-immobilier/la-roche-blanche-44522/,44222
Geneston,2390.0,1873.0,3436.0,2479.0,1254.0,3449.0,13.0,9.3,18.3,12.5,9.1,16.2,https://www.meilleursagents.com/prix-immobilier/geneston-44140/,44223
La Grigonnais,1776.0,1111.0,2946.0,2000.0,972.0,2889.0,12.1,8.2,16.2,11.6,8.3,15.0,https://www.meilleursagents.com/prix-immobilier/la-grigonnais-44170/,44224
Allonnes,1579.0,1127.0,3159.0,1950.0,808.0,3831.0,9.3,6.4,16.1,9.8,7.1,13.0,https://www.meilleursagents.com/prix-immobilier/allonnes-49650/,49002
Tuffalun,2109.0,1276.0,4218.0,2211.0,1000.0,3832.0,11.2,7.8,19.8,10.0,6.5,12.6,https://www.meilleursagents.com/prix-immobilier/ambillou-chateau-49700/,49003
Tuffalun,2109.0,1276.0,4218.0,2211.0,1000.0,3832.0,11.2,7.8,19.8,10.0,6.5,12.6,https://www.meilleursagents.com/prix-immobilier/louerre-49700/,49003
Tuffalun,2109.0,1276.0,4218.0,2211.0,1000.0,3832.0,11.2,7.8,19.8,10.0,6.5,12.6,https://www.meilleursagents.com/prix-immobilier/noyant-la-plaine-49700/,49003
Angers,3288.0,2103.0,4582.0,3518.0,1924.0,5581.0,13.8,8.6,24.8,13.0,8.6,17.8,https://www.meilleursagents.com/prix-immobilier/angers-49000/,49007
Angrie,1815.0,851.0,3119.0,1607.0,701.0,2814.0,10.1,6.9,17.4,9.4,7.3,13.1,https://www.meilleursagents.com/prix-immobilier/angrie-49440/,49008
Antoigné,1561.0,1159.0,2329.0,1458.0,583.0,2916.0,11.3,8.2,18.5,8.3,4.8,10.6,https://www.meilleursagents.com/prix-immobilier/antoigne-49260/,49009
Armaillé,1794.0,841.0,2960.0,1574.0,629.0,2538.0,10.7,7.4,15.6,8.8,6.2,13.0,https://www.meilleursagents.com/prix-immobilier/armaille-49420/,49010
Artannes-sur-Thouet,1617.0,1166.0,2444.0,2039.0,946.0,3327.0,10.4,7.6,18.8,9.6,6.6,12.7,https://www.meilleursagents.com/prix-immobilier/artannes-sur-thouet-49260/,49011
Aubigné-sur-Layon,2732.0,1825.0,3663.0,1896.0,758.0,3792.0,10.3,8.5,12.3,10.0,6.8,12.9,https://www.meilleursagents.com/prix-immobilier/aubigne-sur-layon-49540/,49012
Avrillé,3275.0,2198.0,4947.0,3272.0,1965.0,5191.0,13.1,10.1,23.7,14.4,11.6,21.1,https://www.meilleursagents.com/prix-immobilier/avrille-49240/,49015
Baracé,2029.0,1531.0,2668.0,1799.0,720.0,3598.0,10.9,7.7,19.6,9.3,6.8,12.6,https://www.meilleursagents.com/prix-immobilier/barace-49430/,49017
Baugé-en-Anjou,2075.0,1271.0,4150.0,1692.0,677.0,3263.0,9.9,6.8,17.2,9.6,6.8,12.6,https://www.meilleursagents.com/prix-immobilier/bauge-49150/,49018
Baugé-en-Anjou,2075.0,1271.0,4150.0,1692.0,677.0,3263.0,9.9,6.8,17.2,9.6,6.8,12.6,https://www.meilleursagents.com/prix-immobilier/boce-49150/,49018
Baugé-en-Anjou,2075.0,1271.0,4150.0,1692.0,677.0,3263.0,9.9,6.8,17.2,9.6,6.8,12.6,https://www.meilleursagents.com/prix-immobilier/chartrene-49150/,49018
Baugé-en-Anjou,2075.0,1271.0,4150.0,1692.0,677.0,3263.0,9.9,6.8,17.2,9.6,6.8,12.6,https://www.meilleursagents.com/prix-immobilier/chevire-le-rouge-49150/,49018
Baugé-en-Anjou,2075.0,1271.0,4150.0,1692.0,677.0,3263.0,9.9,6.8,17.2,9.6,6.8,12.6,https://www.meilleursagents.com/prix-immobilier/clefs-49150/,49018
Baugé-en-Anjou,2075.0,1271.0,4150.0,1692.0,677.0,3263.0,9.9,6.8,17.2,9.6,6.8,12.6,https://www.meilleursagents.com/prix-immobilier/cuon-49150/,49018
Baugé-en-Anjou,2075.0,1271.0,4150.0,1692.0,677.0,3263.0,9.9,6.8,17.2,9.6,6.8,12.6,https://www.meilleursagents.com/prix-immobilier/echemire-49150/,49018
Baugé-en-Anjou,2075.0,1271.0,4150.0,1692.0,677.0,3263.0,9.9,6.8,17.2,9.6,6.8,12.6,https://www.meilleursagents.com/prix-immobilier/fougere-49150/,49018
Baugé-en-Anjou,2075.0,1271.0,4150.0,1692.0,677.0,3263.0,9.9,6.8,17.2,9.6,6.8,12.6,https://www.meilleursagents.com/prix-immobilier/le-guedeniau-49150/,49018
Baugé-en-Anjou,2075.0,1271.0,4150.0,1692.0,677.0,3263.0,9.9,6.8,17.2,9.6,6.8,12.6,https://www.meilleursagents.com/prix-immobilier/le-vieil-bauge-49150/,49018
Baugé-en-Anjou,2075.0,1271.0,4150.0,1692.0,677.0,3263.0,9.9,6.8,17.2,9.6,6.8,12.6,https://www.meilleursagents.com/prix-immobilier/montpollin-49150/,49018
Baugé-en-Anjou,2075.0,1271.0,4150.0,1692.0,677.0,3263.0,9.9,6.8,17.2,9.6,6.8,12.6,https://www.meilleursagents.com/prix-immobilier/pontigne-49150/,49018
Baugé-en-Anjou,2075.0,1271.0,4150.0,1692.0,677.0,3263.0,9.9,6.8,17.2,9.6,6.8,12.6,https://www.meilleursagents.com/prix-immobilier/saint-martin-d-arce-49150/,49018
Baugé-en-Anjou,2075.0,1271.0,4150.0,1692.0,677.0,3263.0,9.9,6.8,17.2,9.6,6.8,12.6,https://www.meilleursagents.com/prix-immobilier/saint-quentin-les-beaurepaire-49150/,49018
Baugé-en-Anjou,2075.0,1271.0,4150.0,1692.0,677.0,3263.0,9.9,6.8,17.2,9.6,6.8,12.6,https://www.meilleursagents.com/prix-immobilier/vaulandry-49150/,49018
Beaucouzé,3349.0,2455.0,4806.0,3231.0,1965.0,4272.0,13.5,10.5,22.6,14.6,12.2,20.0,https://www.meilleursagents.com/prix-immobilier/beaucouze-49070/,49020
Beaufort-en-Anjou,2297.0,1225.0,4584.0,2095.0,921.0,3250.0,11.8,8.6,19.3,12.2,9.9,18.2,https://www.meilleursagents.com/prix-immobilier/beaufort-en-vallee-49250/,49021
Beaufort-en-Anjou,2297.0,1225.0,4584.0,2095.0,921.0,3250.0,11.8,8.6,19.3,12.2,9.9,18.2,https://www.meilleursagents.com/prix-immobilier/gee-49250/,49021
Beaulieu-sur-Layon,2468.0,1169.0,3777.0,2250.0,900.0,3552.0,11.8,7.7,17.1,11.1,8.6,15.0,https://www.meilleursagents.com/prix-immobilier/beaulieu-sur-layon-49750/,49022
Beaupréau-en-Mauges,1702.0,1014.0,2367.0,1954.0,796.0,3057.0,11.2,7.5,18.5,9.9,6.9,13.1,https://www.meilleursagents.com/prix-immobilier/le-pin-en-mauges-49110/,49023
Beaupréau-en-Mauges,1702.0,1014.0,2367.0,1954.0,796.0,3057.0,11.2,7.5,18.5,9.9,6.9,13.1,https://www.meilleursagents.com/prix-immobilier/villedieu-la-blouere-49450/,49023
Beaupréau-en-Mauges,1702.0,1014.0,2367.0,1954.0,796.0,3057.0,11.2,7.5,18.5,9.9,6.9,13.1,https://www.meilleursagents.com/prix-immobilier/jallais-49510/,49023
Beaupréau-en-Mauges,1702.0,1014.0,2367.0,1954.0,796.0,3057.0,11.2,7.5,18.5,9.9,6.9,13.1,https://www.meilleursagents.com/prix-immobilier/la-jubaudiere-49510/,49023
Beaupréau-en-Mauges,1702.0,1014.0,2367.0,1954.0,796.0,3057.0,11.2,7.5,18.5,9.9,6.9,13.1,https://www.meilleursagents.com/prix-immobilier/la-poiteviniere-49510/,49023
Beaupréau-en-Mauges,1702.0,1014.0,2367.0,1954.0,796.0,3057.0,11.2,7.5,18.5,9.9,6.9,13.1,https://www.meilleursagents.com/prix-immobilier/andreze-49600/,49023
Beaupréau-en-Mauges,1702.0,1014.0,2367.0,1954.0,796.0,3057.0,11.2,7.5,18.5,9.9,6.9,13.1,https://www.meilleursagents.com/prix-immobilier/beaupreau-49600/,49023
Beaupréau-en-Mauges,1702.0,1014.0,2367.0,1954.0,796.0,3057.0,11.2,7.5,18.5,9.9,6.9,13.1,https://www.meilleursagents.com/prix-immobilier/geste-49600/,49023
Beaupréau-en-Mauges,1702.0,1014.0,2367.0,1954.0,796.0,3057.0,11.2,7.5,18.5,9.9,6.9,13.1,https://www.meilleursagents.com/prix-immobilier/la-chapelle-du-genet-49600/,49023
Beaupréau-en-Mauges,1702.0,1014.0,2367.0,1954.0,796.0,3057.0,11.2,7.5,18.5,9.9,6.9,13.1,https://www.meilleursagents.com/prix-immobilier/saint-philbert-en-mauges-49600/,49023
Bécon-les-Granits,2444.0,1196.0,3651.0,2304.0,921.0,3627.0,11.4,9.1,20.2,11.1,8.4,16.1,https://www.meilleursagents.com/prix-immobilier/becon-les-granits-49370/,49026
Bégrolles-en-Mauges,2393.0,1889.0,3174.0,1938.0,775.0,2878.0,11.1,8.0,19.4,10.1,6.8,12.7,https://www.meilleursagents.com/prix-immobilier/begrolles-en-mauges-49122/,49027
Béhuard,2817.0,1844.0,3782.0,2643.0,1164.0,4185.0,13.4,10.1,19.2,11.9,9.8,16.2,https://www.meilleursagents.com/prix-immobilier/behuard-49170/,49028
Blaison-Saint-Sulpice,2552.0,1647.0,3516.0,2626.0,1126.0,3901.0,12.4,9.4,17.0,11.4,8.1,15.6,https://www.meilleursagents.com/prix-immobilier/blaison-gohier-49320/,49029
Blaison-Saint-Sulpice,2552.0,1647.0,3516.0,2626.0,1126.0,3901.0,12.4,9.4,17.0,11.4,8.1,15.6,https://www.meilleursagents.com/prix-immobilier/saint-sulpice-49320/,49029
Blou,1895.0,1138.0,3790.0,1793.0,717.0,3294.0,10.4,6.8,16.3,10.3,6.5,14.7,https://www.meilleursagents.com/prix-immobilier/blou-49160/,49030
Bouchemaine,2897.0,2028.0,4407.0,3659.0,2289.0,5973.0,13.6,10.5,18.4,12.6,10.1,16.5,https://www.meilleursagents.com/prix-immobilier/bouchemaine-49080/,49035
Bouillé-Ménard,1846.0,903.0,3393.0,1315.0,526.0,2630.0,10.1,6.2,16.7,9.3,6.9,11.1,https://www.meilleursagents.com/prix-immobilier/bouille-menard-49520/,49036
Bourg-l'Évêque,1841.0,905.0,3374.0,1372.0,549.0,2391.0,9.7,5.4,16.9,9.0,7.7,14.4,https://www.meilleursagents.com/prix-immobilier/bourg-l-eveque-49520/,49038
Brain-sur-Allonnes,1560.0,1133.0,2515.0,1776.0,710.0,3317.0,10.0,7.4,18.1,9.7,6.3,12.3,https://www.meilleursagents.com/prix-immobilier/brain-sur-allonnes-49650/,49041
La Breille-les-Pins,1549.0,1117.0,3098.0,1873.0,801.0,3260.0,10.2,7.5,18.4,9.8,7.9,12.8,https://www.meilleursagents.com/prix-immobilier/la-breille-les-pins-49390/,49045
Briollay,1739.0,1362.0,2472.0,2829.0,1306.0,4958.0,12.1,9.1,17.3,12.6,9.8,16.8,https://www.meilleursagents.com/prix-immobilier/briollay-49125/,49048
Saint-Rémy-la-Varenne,2676.0,1724.0,3690.0,2322.0,1013.0,3673.0,12.3,9.3,16.8,11.5,8.3,15.8,https://www.meilleursagents.com/prix-immobilier/saint-remy-la-varenne-49250/,49050
Brissac-Quincé,2535.0,1647.0,3383.0,2644.0,1101.0,3944.0,12.2,7.7,21.0,12.4,9.0,16.3,https://www.meilleursagents.com/prix-immobilier/brissac-quince-49320/,49050
Chemellier,2562.0,1624.0,5123.0,2255.0,1032.0,4155.0,10.5,8.4,17.2,11.0,7.7,13.3,https://www.meilleursagents.com/prix-immobilier/chemellier-49320/,49050
