ville,prix_appartement,min_appartement,max_appartement,prix_maison,min_maison,max_maison,loyer_appartement,loyer_min_appartement,loyer_max_appartement,loyer_maison,loyer_min_maison,loyer_max_maison,Taux_Global_TFB,Code_insee,Code_postal,Departement,geo
Morannes-sur-Sarthe,1955,1127,3826,1608,643,2908,12.1,8.7,17.6,10.2,8,13.3,0.4485,49220,49640,Maine-et-Loire,"Morannes-sur-Sarthe, Maine-et-Loire, France"
Mouliherne,1599,1026,2186,1370,548,2317,9.1,5.7,16.4,9.6,7.4,12.1,0.4551,49221,49390,Maine-et-Loire,"Mouliherne, Maine-et-Loire, France"
Mozé-sur-Louet,2840,1910,3750,2744,1117,4038,11.7,8.5,17.5,10.9,8.3,14.7,0.455,49222,49610,Maine-et-Loire,"Mozé-sur-Louet, Maine-et-Loire, France"
Mûrs-Erigné,2857,1976,3814,2988,1691,4448,13,10,23.4,13.4,9.6,18,0.5446,49223,49610,Maine-et-Loire,"Mûrs-Erigné, Maine-et-Loire, France"
Neuillé,1586,1128,3173,1966,834,3075,10.1,5.7,16.3,9.9,6.3,14.2,0.434,49224,49680,Maine-et-Loire,"Neuillé, Maine-et-Loire, France"
Parçay-les-Pins,1557,1002,2139,1318,527,2481,9.6,6,13.8,9.5,7.3,13.8,0.4023,49234,49390,Maine-et-Loire,"Parçay-les-Pins, Maine-et-Loire, France"
Nuaillé,2502,1990,3336,2095,838,3131,11.9,8.1,18.9,9.8,6.6,12.4,0.4651,49231,49340,Maine-et-Loire,"Nuaillé, Maine-et-Loire, France"
Parnay,1812,1065,2535,2104,1086,3784,10.2,6.8,14.7,10.2,8.6,13.5,0.462,49235,49730,Maine-et-Loire,"Parnay, Maine-et-Loire, France"
Passavant-sur-Layon,1691,939,2479,1403,561,2567,12.9,8.4,22.7,11.2,8.1,15.2,0.3713,49236,49560,Maine-et-Loire,"Passavant-sur-Layon, Maine-et-Loire, France"
La Pellerine,1564,1006,2146,1244,502,2212,9.2,5.7,16.5,9.6,6.9,12.4,0.3978,49237,49490,Maine-et-Loire,"La Pellerine, Maine-et-Loire, France"
La Plaine,2568,2020,3048,1586,634,2685,11.4,8.2,19.3,10.2,6.9,13.3,0.4702,49240,49360,Maine-et-Loire,"La Plaine, Maine-et-Loire, France"
Le Plessis-Grammoire,2401,1547,3516,2868,1217,4300,12.8,9.6,19.6,12,8.3,15.8,0.6051,49241,49124,Maine-et-Loire,"Le Plessis-Grammoire, Maine-et-Loire, France"
Mauges-sur-Loire,1766,750,2569,1942,777,3252,10.1,6.5,16.5,9.9,6.9,13.3,0.4584,49244,49110,Maine-et-Loire,"Mauges-sur-Loire, Maine-et-Loire, France"
Les Ponts-de-Cé,2882,1614,4404,3078,1549,4739,13.6,9.7,24.5,14.1,9,19,0.4931,49246,49130,Maine-et-Loire,"Les Ponts-de-Cé, Maine-et-Loire, France"
La Possonnière,2716,1726,4042,2814,1371,4483,11.2,7.6,17,11.3,8.6,16.6,0.5081,49247,49170,Maine-et-Loire,"La Possonnière, Maine-et-Loire, France"
Chazé-Henry,1827,877,3208,1145,458,2289,9.7,6.4,15.2,8.8,6.3,11.3,0.434,49088,49420,Maine-et-Loire,"Chazé-Henry, Maine-et-Loire, France"
Le Puy-Notre-Dame,1566,1166,2304,1435,574,2628,9.7,6.4,14.9,9.5,7,12.8,0.4457,49253,49260,Maine-et-Loire,"Le Puy-Notre-Dame, Maine-et-Loire, France"
Les Rairies,1881,895,2259,1765,779,3224,9.1,6.3,16.4,9.6,6.9,13.2,0.4962,49257,49430,Maine-et-Loire,"Les Rairies, Maine-et-Loire, France"
Rochefort-sur-Loire,2798,1825,3858,2472,989,4056,12.4,9.4,17,12,9.1,16.3,0.4997,49259,49190,Maine-et-Loire,"Rochefort-sur-Loire, Maine-et-Loire, France"
La Romagne,2385,1883,3217,2045,818,2977,10.1,7.3,17.7,9.8,6.6,12.6,0.4348,49260,49740,Maine-et-Loire,"La Romagne, Maine-et-Loire, France"
Saint-Martin-de-la-Place,2041,1204,4083,1843,768,3434,11.4,8.6,15,10.1,8.3,13,0.5,49304,49160,Maine-et-Loire,"Saint-Martin-de-la-Place, Maine-et-Loire, France"
Rou-Marson,1610,1161,3220,2168,867,3429,11.7,8.4,17.9,10.8,8.8,14.6,0.4392,49262,49400,Maine-et-Loire,"Rou-Marson, Maine-et-Loire, France"
Saint-Augustin-des-Bois,2476,1105,3823,2384,954,3446,10.7,8.3,16.6,11,7.8,16.5,0.5108,49266,49170,Maine-et-Loire,"Saint-Augustin-des-Bois, Maine-et-Loire, France"
Saint-Christophe-du-Bois,2502,2012,3258,2258,1142,3064,12.5,9.4,18.6,10.9,7.8,13.7,0.4796,49269,49280,Maine-et-Loire,"Saint-Christophe-du-Bois, Maine-et-Loire, France"
Saint-Clément-de-la-Place,3044,2032,4096,2630,1052,4000,10.4,8.4,14.8,12.6,9.1,19,0.5178,49271,49370,Maine-et-Loire,"Saint-Clément-de-la-Place, Maine-et-Loire, France"
Saint-Clément-des-Levées,2101,1219,4203,1911,765,3210,9.5,6.8,17.2,9.8,7.1,12.4,0.4558,49272,49350,Maine-et-Loire,"Saint-Clément-des-Levées, Maine-et-Loire, France"
Sainte-Gemmes-sur-Loire,2760,1574,4059,3347,1794,5582,13.4,10.3,24.2,12,8.2,16.6,0.4846,49278,49130,Maine-et-Loire,"Sainte-Gemmes-sur-Loire, Maine-et-Loire, France"
Saint-Georges-sur-Loire,2709,1877,4219,2482,1026,4236,11,7.7,17.7,11.2,8.5,16.5,0.476,49283,49170,Maine-et-Loire,"Saint-Georges-sur-Loire, Maine-et-Loire, France"
Saint-Germain-des-Prés,2510,1063,3962,2223,889,3839,10,6.8,16.9,9.9,7.1,13.3,0.5015,49284,49170,Maine-et-Loire,"Saint-Germain-des-Prés, Maine-et-Loire, France"
Saint-Jean-de-la-Croix,2761,1532,3987,2139,927,3419,11.2,7.9,19.9,9.8,7.1,13.1,0.4071,49288,49130,Maine-et-Loire,"Saint-Jean-de-la-Croix, Maine-et-Loire, France"
Saint-Just-sur-Dive,1612,1164,2441,1442,577,2543,10.9,7.6,18.5,9.6,6.3,11.4,0.3865,49291,49260,Maine-et-Loire,"Saint-Just-sur-Dive, Maine-et-Loire, France"
Val-du-Layon,2448,1125,3782,2162,865,3487,10.9,7.8,15.7,11.4,9,16.3,0.4518,49292,49190,Maine-et-Loire,"Val-du-Layon, Maine-et-Loire, France"
Saint-Lambert-la-Potherie,2890,1984,4297,2867,1147,3985,12.7,8.7,18.7,13.7,11.4,18.8,0.5657,49294,49070,Maine-et-Loire,"Saint-Lambert-la-Potherie, Maine-et-Loire, France"
Saint-Jean-de-Linières,2890,1995,4266,2927,1302,4035,12.9,9.2,21.1,14.1,11.6,19.2,0.5603,49289,49070,Maine-et-Loire,"Saint-Jean-de-Linières, Maine-et-Loire, France"
Saint-Léger-sous-Cholet,2461,1953,3276,2417,1094,3387,12.3,9.3,18.5,11.1,8.2,14.4,0.458,49299,49280,Maine-et-Loire,"Saint-Léger-sous-Cholet, Maine-et-Loire, France"
Sèvremoine,1751,971,2554,2057,823,3175,11.5,8.2,20,10.2,6.9,13.2,0.4256,49301,49230,Maine-et-Loire,"Sèvremoine, Maine-et-Loire, France"
Saint-Macaire-du-Bois,1613,1205,2212,1556,623,3113,9,6.4,15,9.9,7.2,13.1,0.4503,49302,49260,Maine-et-Loire,"Saint-Macaire-du-Bois, Maine-et-Loire, France"
Saint-Martin-du-Fouilloux,2840,1964,4241,2801,1429,4126,12.7,8.7,18.8,13.5,10.9,18.7,0.5183,49306,49170,Maine-et-Loire,"Saint-Martin-du-Fouilloux, Maine-et-Loire, France"
