ville,prix_appartement,min_appartement,max_appartement,prix_maison,min_maison,max_maison,loyer_appartement,loyer_min_appartement,loyer_max_appartement,loyer_maison,loyer_min_maison,loyer_max_maison,Taux_Global_TFB,Code_insee,Code_postal,Departement,geo
Pannecé,2422,1304,4677,1831,732,2967,9.5,5.9,14.8,10.1,7.3,13.8,0.3567,44118,44440,Loire-Atlantique,"Pannecé, Loire-Atlantique, France"
Paulx,2705,1425,3706,2165,929,3355,11.4,9.3,19,11.8,7.6,14.9,0.3471,44119,44270,Loire-Atlantique,"Paulx, Loire-Atlantique, France"
Le Pellerin,2770,1484,3507,2611,1206,4179,12.7,9.8,20.1,12.5,8.7,16.4,0.4782,44120,44640,Loire-Atlantique,"Le Pellerin, Loire-Atlantique, France"
Petit-Auverné,1750,955,2653,1787,715,3575,9.4,5.2,16.9,10.2,7.3,13.1,0.2989,44121,44670,Loire-Atlantique,"Petit-Auverné, Loire-Atlantique, France"
Petit-Mars,3381,2056,4847,2399,1125,3564,12.8,9,17.5,12.9,9.1,16.1,0.4404,44122,44390,Loire-Atlantique,"Petit-Mars, Loire-Atlantique, France"
Pierric,1734,1117,2628,1480,592,2392,10.7,8.6,18.3,11,8.1,15.5,0.3501,44123,44290,Loire-Atlantique,"Pierric, Loire-Atlantique, France"
Le Pin,1855,892,3200,1441,577,2846,9.1,5.2,14.2,9.9,7.1,12.2,0.3357,44124,44540,Loire-Atlantique,"Le Pin, Loire-Atlantique, France"
Piriac-sur-Mer,4182,2134,7253,4901,2338,9794,12.7,8.6,18.1,12.6,7.7,15.9,0.3683,44125,44420,Loire-Atlantique,"Piriac-sur-Mer, Loire-Atlantique, France"
La Plaine-sur-Mer,4369,2280,6617,3884,1880,6916,13.6,9.3,19.4,14,11.5,18.7,0.3961,44126,44770,Loire-Atlantique,"La Plaine-sur-Mer, Loire-Atlantique, France"
La Planche,2280,1721,3146,2068,827,3088,11.5,8.5,18.3,11.2,6.8,13.8,0.3966,44127,44140,Loire-Atlantique,"La Planche, Loire-Atlantique, France"
Plessé,1945,1401,2516,1776,710,3120,11.4,6.7,20.6,10.8,7.6,13.8,0.4388,44128,44630,Loire-Atlantique,"Plessé, Loire-Atlantique, France"
Pontchâteau,2555,1491,3567,2465,1095,3670,12.2,8.1,20.6,13.4,8.5,17.5,0.4597,44129,44160,Loire-Atlantique,"Pontchâteau, Loire-Atlantique, France"
Viais,3241,2568,4159,2877,1200,4306,13.9,9.9,18.8,13.4,9.6,17.4,0.4996,44130,44860,Loire-Atlantique,"Viais, Loire-Atlantique, France"
Le Clion sur Mer,5673,3105,8819,5195,2347,10045,13.6,10,20.1,14,11,18.6,0.358,44131,44210,Loire-Atlantique,"Le Clion sur Mer, Loire-Atlantique, France"
Pornichet,6082,3305,10160,5999,2720,11400,14.5,9.1,23.2,16,11,20.9,0.3525,44132,44380,Loire-Atlantique,"Pornichet, Loire-Atlantique, France"
Pouillé-les-Côteaux,1964,1123,3928,2148,897,3299,9.2,5.7,14.3,9.8,6.5,13.8,0.39,44134,44522,Loire-Atlantique,"Pouillé-les-Côteaux, Loire-Atlantique, France"
Préfailles,4668,1909,6258,5019,2035,10038,13.6,9.3,19.3,14,11,18.7,0.3759,44136,44770,Loire-Atlantique,"Préfailles, Loire-Atlantique, France"
Prinquiau,2523,1521,3428,2293,968,3496,12.6,8.5,16.3,13.7,9,18.1,0.4141,44137,44260,Loire-Atlantique,"Prinquiau, Loire-Atlantique, France"
Puceul,1797,1143,2960,1978,829,2717,11.8,8.1,15.9,11.9,8.6,15.9,0.3832,44138,44390,Loire-Atlantique,"Puceul, Loire-Atlantique, France"
Quilly,2527,1489,3533,1812,762,3156,11.1,9.1,17.9,11.7,8.5,16.4,0.4584,44139,44750,Loire-Atlantique,"Quilly, Loire-Atlantique, France"
La Regrippière,1852,1081,3324,1918,767,2859,11,7.9,19.4,10,6.7,13.3,0.4273,44140,44330,Loire-Atlantique,"La Regrippière, Loire-Atlantique, France"
La Remaudière,2624,1802,4368,2023,809,3341,10.6,7.6,18.6,10.5,7,13.8,0.3866,44141,44430,Loire-Atlantique,"La Remaudière, Loire-Atlantique, France"
Remouillé,2341,1716,3065,2233,956,3343,12.8,9.3,18,12.2,8.9,16.6,0.5764,44142,44140,Loire-Atlantique,"Remouillé, Loire-Atlantique, France"
Rezé,2986,2122,4338,3118,1554,4975,13.7,10.4,21.4,12,10.2,15,0.5631,44143,44400,Loire-Atlantique,"Rezé, Loire-Atlantique, France"
Riaillé,2550,1359,3925,1711,685,2647,9.5,5.3,16.3,9.8,6.6,13,0.3349,44144,44440,Loire-Atlantique,"Riaillé, Loire-Atlantique, France"
Rouans,2565,1634,3683,2606,1042,4182,13,10.1,18.5,12.6,8.7,16.4,0.4176,44145,44640,Loire-Atlantique,"Rouans, Loire-Atlantique, France"
Rougé,1896,1011,2724,1424,570,2693,10.4,7.1,14,9.9,6.5,13.2,0.3176,44146,44660,Loire-Atlantique,"Rougé, Loire-Atlantique, France"
Ruffigné,2265,1475,3139,1278,511,2174,10.6,6.1,19,10.6,6.9,14.5,0.339,44148,44660,Loire-Atlantique,"Ruffigné, Loire-Atlantique, France"
Saffré,2629,1431,4115,2055,854,3315,10.7,7.4,17.7,10.6,7,13.6,0.3542,44149,44390,Loire-Atlantique,"Saffré, Loire-Atlantique, France"
Saint-Aignan-Grandlieu,3200,2254,4217,2647,1156,3829,12.5,9.6,16.2,13.4,9.5,17.3,0.4574,44150,44860,Loire-Atlantique,"Saint-Aignan-Grandlieu, Loire-Atlantique, France"
Saint-André-des-Eaux,3765,2039,5126,3722,1557,6018,14,9.5,19.9,14.4,9.2,18.9,0.4177,44151,44117,Loire-Atlantique,"Saint-André-des-Eaux, Loire-Atlantique, France"
Sainte-Anne-sur-Brivet,2556,1494,3564,2540,1233,4304,11.6,9.1,20,10.4,6.8,12.8,0.5013,44152,44160,Loire-Atlantique,"Sainte-Anne-sur-Brivet, Loire-Atlantique, France"
Saint-Aubin-des-Châteaux,1761,913,2778,1607,667,3004,10.2,5.9,17.6,10.5,7.9,13.7,0.2937,44153,44110,Loire-Atlantique,"Saint-Aubin-des-Châteaux, Loire-Atlantique, France"
Saint-Brevin-les-Pins,4517,2680,6697,3958,1891,6475,13.7,9.1,19.5,14.2,11,18.5,0.402,44154,44250,Loire-Atlantique,"Saint-Brevin-les-Pins, Loire-Atlantique, France"
Saint-Colomban,2274,1683,3191,2316,926,3501,13.9,9.9,19.5,12.4,9,14.8,0.3953,44155,44310,Loire-Atlantique,"Saint-Colomban, Loire-Atlantique, France"
Corcoué-sur-Logne,2217,1615,3066,1926,800,2968,11.5,9.2,19.2,11.3,7.7,14.6,0.4013,44156,44650,Loire-Atlantique,"Corcoué-sur-Logne, Loire-Atlantique, France"
Saint-Étienne-de-Mer-Morte,2652,1424,3599,2046,818,3279,11.2,9,18.7,11.1,7.1,14.1,0.3536,44157,44270,Loire-Atlantique,"Saint-Étienne-de-Mer-Morte, Loire-Atlantique, France"
Saint-Étienne-de-Montluc,3054,1374,3949,2883,1153,4440,14.2,11.4,20.8,14.6,10.5,20.7,0.4176,44158,44360,Loire-Atlantique,"Saint-Étienne-de-Montluc, Loire-Atlantique, France"
Saint-Fiacre-sur-Maine,3323,1868,5078,2764,1497,4452,13.5,8.9,18.5,13,9.2,17.1,0.3824,44159,44690,Loire-Atlantique,"Saint-Fiacre-sur-Maine, Loire-Atlantique, France"
Saint-Gildas-des-Bois,2533,1471,3543,1931,772,3142,10.8,7.9,17.6,11,8.8,13.4,0.3504,44161,44530,Loire-Atlantique,"Saint-Gildas-des-Bois, Loire-Atlantique, France"
Vair-sur-Loire,1937,1009,3875,2122,849,3382,11.4,7.9,20.5,11.7,8.9,16,0.367,44163,44150,Loire-Atlantique,"Vair-sur-Loire, Loire-Atlantique, France"
Saint-Hilaire-de-Chaléons,2589,1506,3437,2297,919,3523,11.4,9.4,19.7,11.8,8,14.9,0.4108,44164,44680,Loire-Atlantique,"Saint-Hilaire-de-Chaléons, Loire-Atlantique, France"
Saint-Hilaire-de-Clisson,2487,1778,3238,2314,926,3139,12.8,9.3,17.9,12,8.8,15.4,0.415,44165,44190,Loire-Atlantique,"Saint-Hilaire-de-Clisson, Loire-Atlantique, France"
Saint-Jean-de-Boiseau,3087,2163,4016,2737,1206,4035,14.3,11,18.5,16.1,11.1,21.6,0.5153,44166,44640,Loire-Atlantique,"Saint-Jean-de-Boiseau, Loire-Atlantique, France"
Saint-Joachim,2475,1289,3202,2230,1005,3681,10.4,5.9,17.7,11.7,7,17.7,0.4974,44168,44720,Loire-Atlantique,"Saint-Joachim, Loire-Atlantique, France"
Saint-Julien-de-Concelles,3298,2197,4367,2737,1145,4116,13.2,9.9,17.4,13.6,8.8,16.2,0.4731,44169,44450,Loire-Atlantique,"Saint-Julien-de-Concelles, Loire-Atlantique, France"
Saint-Julien-de-Vouvantes,1791,850,2882,1230,492,2459,11.1,8.1,18,9.2,6.4,13.5,0.2915,44170,44670,Loire-Atlantique,"Saint-Julien-de-Vouvantes, Loire-Atlantique, France"
Saint-Léger-les-Vignes,3224,2565,4312,2677,1285,3779,13.1,9.3,17.4,13.2,8.8,15.9,0.4423,44171,44710,Loire-Atlantique,"Saint-Léger-les-Vignes, Loire-Atlantique, France"
Sainte-Luce-sur-Loire,3566,2579,4737,3226,1862,4766,13.1,10.2,19.3,11.8,10,15.3,0.4346,44172,44980,Loire-Atlantique,"Sainte-Luce-sur-Loire, Loire-Atlantique, France"
Saint-Lumine-de-Clisson,2484,1869,3303,2351,1284,3579,13,9.4,18.2,12.8,9.3,17.4,0.4596,44173,44190,Loire-Atlantique,"Saint-Lumine-de-Clisson, Loire-Atlantique, France"
Saint-Lumine-de-Coutais,2708,1459,3664,2179,906,3135,11.2,9,18.8,11.2,7.3,14.7,0.3659,44174,44310,Loire-Atlantique,"Saint-Lumine-de-Coutais, Loire-Atlantique, France"
Saint-Lyphard,3535,2270,4799,3160,1264,5135,11.9,7.8,17,13,8.3,17,0.4623,44175,44410,Loire-Atlantique,"Saint-Lyphard, Loire-Atlantique, France"
Saint-Malo-de-Guersac,2559,1287,3308,2433,1027,3838,11.7,9,20.8,11.2,7.5,15.1,0.3929,44176,44550,Loire-Atlantique,"Saint-Malo-de-Guersac, Loire-Atlantique, France"
Saint-Mars-de-Coutais,2693,1471,3630,2354,942,3422,12.5,9.2,17.5,13,9.1,16.2,0.409,44178,44680,Loire-Atlantique,"Saint-Mars-de-Coutais, Loire-Atlantique, France"
Saint-Mars-du-Désert,2924,1473,4803,2535,1076,3760,12.9,9.1,17.6,12.8,9,16,0.5036,44179,44850,Loire-Atlantique,"Saint-Mars-du-Désert, Loire-Atlantique, France"
Bonnœuvre,2520,1320,4232,1679,672,2940,9.5,5.4,16.1,10,7.3,13.9,0.3331,44017,44540,Loire-Atlantique,"Bonnœuvre, Loire-Atlantique, France"
Tharon Plage,4439,2582,6507,3955,1592,6830,13.6,10,20.7,13.8,10.8,18.4,0.3624,44182,44730,Loire-Atlantique,"Tharon Plage, Loire-Atlantique, France"
Saint-Molf,3591,2356,4951,3175,1270,4835,11.9,7.8,17,13,7.8,15.9,0.4494,44183,44350,Loire-Atlantique,"Saint-Molf, Loire-Atlantique, France"
Saint-Nazaire,3030,1912,4383,3182,1678,5229,12.7,8.1,20.5,14.6,9.9,19.7,0.3903,44184,44600,Loire-Atlantique,"Saint-Nazaire, Loire-Atlantique, France"
Saint-Nicolas-de-Redon,2658,1209,3803,1826,730,3060,11.5,8.7,16.8,11.1,7.3,14.6,0.3499,44185,44460,Loire-Atlantique,"Saint-Nicolas-de-Redon, Loire-Atlantique, France"
Sainte-Pazanne,2636,1603,3378,2701,1146,3672,12.9,9.4,19.8,12.7,8.9,15.8,0.4427,44186,44680,Loire-Atlantique,"Sainte-Pazanne, Loire-Atlantique, France"
Saint-Père-en-Retz,2420,1138,3588,2787,1115,4374,11.6,9.6,20,12.2,8.2,16.5,0.364,44187,44320,Loire-Atlantique,"Saint-Père-en-Retz, Loire-Atlantique, France"
Saint-Philbert-de-Grand-Lieu,2908,1960,3609,2637,1241,3866,12.5,9.7,17.8,12.7,9.1,16.2,0.4274,44188,44310,Loire-Atlantique,"Saint-Philbert-de-Grand-Lieu, Loire-Atlantique, France"
Sainte-Reine-de-Bretagne,2563,1532,4247,2346,938,3736,11.7,9.6,20.3,11.1,7.4,13,0.4371,44189,44160,Loire-Atlantique,"Sainte-Reine-de-Bretagne, Loire-Atlantique, France"
Saint-Viaud,2262,905,3785,2630,1110,4256,11.6,9.5,20.1,11.7,7.8,15.7,0.3873,44192,44320,Loire-Atlantique,"Saint-Viaud, Loire-Atlantique, France"
Saint-Vincent-des-Landes,1756,926,2801,1394,558,2529,9.7,5.7,15.3,10.9,6.8,14.4,0.3128,44193,44590,Loire-Atlantique,"Saint-Vincent-des-Landes, Loire-Atlantique, France"
Savenay,2595,1403,3835,2456,1073,3865,12.7,9.4,19.8,13.6,9.4,17.9,0.4242,44195,44260,Loire-Atlantique,"Savenay, Loire-Atlantique, France"
Sévérac,2562,1235,3683,1849,740,3357,9.8,5.7,15.4,9.4,5.6,14.2,0.5013,44196,44530,Loire-Atlantique,"Sévérac, Loire-Atlantique, France"
Sion-les-Mines,1739,930,2748,1367,547,2734,10.2,5.8,17.4,10.5,6.5,14.6,0.3174,44197,44590,Loire-Atlantique,"Sion-les-Mines, Loire-Atlantique, France"
Les Sorinières,3334,2595,4393,3035,1367,4367,13.8,11.2,17,13.4,9.4,17.3,0.4698,44198,44840,Loire-Atlantique,"Les Sorinières, Loire-Atlantique, France"
Soudan,1856,1013,2625,1445,578,2669,10.5,5.9,18.8,10.1,7.2,12.9,0.3104,44199,44110,Loire-Atlantique,"Soudan, Loire-Atlantique, France"
Soulvache,2326,1582,3223,1331,533,2663,10.3,6.3,17,9.8,7.3,13.3,0.2872,44200,44660,Loire-Atlantique,"Soulvache, Loire-Atlantique, France"
Sucé-sur-Erdre,3854,2544,5501,3558,1658,6598,13.5,10.3,17.6,14.1,11,16.9,0.3582,44201,44240,Loire-Atlantique,"Sucé-sur-Erdre, Loire-Atlantique, France"
Teillé,2525,1330,3843,1964,805,3290,11.4,8.7,19.5,11.4,8,15.6,0.3418,44202,44440,Loire-Atlantique,"Teillé, Loire-Atlantique, France"
Le Temple-de-Bretagne,2148,1453,2999,2469,1163,3659,12.8,9.5,19.9,12.2,8.4,16.9,0.3858,44203,44360,Loire-Atlantique,"Le Temple-de-Bretagne, Loire-Atlantique, France"
Thouaré-sur-Loire,3333,2511,4316,3165,1843,4750,13.4,10.2,17.4,14,10.2,17.4,0.4773,44204,44470,Loire-Atlantique,"Thouaré-sur-Loire, Loire-Atlantique, France"
Les Touches,2669,1376,4186,2190,889,3098,13.2,10,21.5,12.5,7.7,17.6,0.3838,44205,44390,Loire-Atlantique,"Les Touches, Loire-Atlantique, France"
Touvois,2550,1644,3371,1937,775,2994,11.2,9,18.8,10.5,7.1,13.9,0.3781,44206,44650,Loire-Atlantique,"Touvois, Loire-Atlantique, France"
Trans-sur-Erdre,2586,1356,4006,1794,718,3031,10.4,6.1,14.4,10.2,6.7,14.1,0.3536,44207,44440,Loire-Atlantique,"Trans-sur-Erdre, Loire-Atlantique, France"
Treffieux,1721,1014,2911,1563,625,2746,11.1,7.1,18.7,11.2,7.2,15.5,0.369,44208,44170,Loire-Atlantique,"Treffieux, Loire-Atlantique, France"
Trignac,2534,1585,3359,2546,1124,4048,12.3,8.1,18.8,14.3,12.1,18.2,0.4496,44210,44570,Loire-Atlantique,"Trignac, Loire-Atlantique, France"
La Turballe,4620,2471,7057,4255,1702,7250,13.3,8.8,19.1,13.9,9.4,18.6,0.3824,44211,44420,Loire-Atlantique,"La Turballe, Loire-Atlantique, France"
Loireauxence,2066,1094,4132,1897,759,3346,9.8,6.6,17.2,9.8,6.7,14.3,0.364,44213,44370,Loire-Atlantique,"Loireauxence, Loire-Atlantique, France"
Vay,1760,1075,2934,1730,692,2962,11.7,7.9,15.7,10.5,7.7,14.1,0.3315,44214,44170,Loire-Atlantique,"Vay, Loire-Atlantique, France"
Beautour,3668,2027,5389,3489,1598,5559,13.4,10.2,21.1,12.2,10.2,15.7,0.4899,44215,44120,Loire-Atlantique,"Beautour, Loire-Atlantique, France"
Vieillevigne,2246,1608,3044,2137,861,3676,11.5,8.9,20.1,11.5,7.1,14.4,0.3604,44216,44116,Loire-Atlantique,"Vieillevigne, Loire-Atlantique, France"
Vigneux-de-Bretagne,3163,1831,3971,2854,1355,4580,14.2,10.6,20.9,15.3,11.7,20.4,0.5356,44217,44360,Loire-Atlantique,"Vigneux-de-Bretagne, Loire-Atlantique, France"
Villepot,1888,998,2715,1407,563,2267,10.3,7,15.8,10.2,6.5,13,0.2724,44218,44110,Loire-Atlantique,"Villepot, Loire-Atlantique, France"
Vue,2547,1562,3692,2376,1021,3762,11.5,9.4,19.8,11.9,8.3,15.6,0.4576,44220,44640,Loire-Atlantique,"Vue, Loire-Atlantique, France"
La Chevallerais,3239,2190,4154,2329,957,3341,12.7,9,16.9,11.7,8.2,14.9,0.5104,44221,44810,Loire-Atlantique,"La Chevallerais, Loire-Atlantique, France"
La Roche-Blanche,1925,1017,3849,2042,970,3279,11.4,7.8,20.4,11.5,8.7,15.6,0.391,44222,44522,Loire-Atlantique,"La Roche-Blanche, Loire-Atlantique, France"
Geneston,2390,1873,3436,2479,1254,3449,13,9.3,18.3,12.5,9.1,16.2,0.3931,44223,44140,Loire-Atlantique,"Geneston, Loire-Atlantique, France"
La Grigonnais,1776,1111,2946,2000,972,2889,12.1,8.2,16.2,11.6,8.3,15,0.4564,44224,44170,Loire-Atlantique,"La Grigonnais, Loire-Atlantique, France"
Allonnes,1579,1127,3159,1950,808,3831,9.3,6.4,16.1,9.8,7.1,13,0.4018,49002,49650,Maine-et-Loire,"Allonnes, Maine-et-Loire, France"
Tuffalun,2109,1276,4218,2211,1000,3832,11.2,7.8,19.8,10,6.5,12.6,0.4474,49003,49700,Maine-et-Loire,"Tuffalun, Maine-et-Loire, France"
Angers,3288,2103,4582,3518,1924,5581,13.8,8.6,24.8,13,8.6,17.8,0.5642,49007,49000,Maine-et-Loire,"Angers, Maine-et-Loire, France"
Angrie,1815,851,3119,1607,701,2814,10.1,6.9,17.4,9.4,7.3,13.1,0.4607,49008,49440,Maine-et-Loire,"Angrie, Maine-et-Loire, France"
Antoigné,1561,1159,2329,1458,583,2916,11.3,8.2,18.5,8.3,4.8,10.6,0.3764,49009,49260,Maine-et-Loire,"Antoigné, Maine-et-Loire, France"
Armaillé,1794,841,2960,1574,629,2538,10.7,7.4,15.6,8.8,6.2,13,0.3791,49010,49420,Maine-et-Loire,"Armaillé, Maine-et-Loire, France"
Artannes-sur-Thouet,1617,1166,2444,2039,946,3327,10.4,7.6,18.8,9.6,6.6,12.7,0.363,49011,49260,Maine-et-Loire,"Artannes-sur-Thouet, Maine-et-Loire, France"
Aubigné-sur-Layon,2732,1825,3663,1896,758,3792,10.3,8.5,12.3,10,6.8,12.9,0.5307,49012,49540,Maine-et-Loire,"Aubigné-sur-Layon, Maine-et-Loire, France"
Avrillé,3275,2198,4947,3272,1965,5191,13.1,10.1,23.7,14.4,11.6,21.1,0.5157,49015,49240,Maine-et-Loire,"Avrillé, Maine-et-Loire, France"
Baracé,2029,1531,2668,1799,720,3598,10.9,7.7,19.6,9.3,6.8,12.6,0.4646,49017,49430,Maine-et-Loire,"Baracé, Maine-et-Loire, France"
Baugé-en-Anjou,2075,1271,4150,1692,677,3263,9.9,6.8,17.2,9.6,6.8,12.6,0.4557,49018,49150,Maine-et-Loire,"Baugé-en-Anjou, Maine-et-Loire, France"
Beaucouzé,3349,2455,4806,3231,1965,4272,13.5,10.5,22.6,14.6,12.2,20,0.5382,49020,49070,Maine-et-Loire,"Beaucouzé, Maine-et-Loire, France"
Beaufort-en-Anjou,2297,1225,4584,2095,921,3250,11.8,8.6,19.3,12.2,9.9,18.2,0.6055,49021,49250,Maine-et-Loire,"Beaufort-en-Anjou, Maine-et-Loire, France"
Beaulieu-sur-Layon,2468,1169,3777,2250,900,3552,11.8,7.7,17.1,11.1,8.6,15,0.4507,49022,49750,Maine-et-Loire,"Beaulieu-sur-Layon, Maine-et-Loire, France"
Beaupréau-en-Mauges,1702,1014,2367,1954,796,3057,11.2,7.5,18.5,9.9,6.9,13.1,0.4283,49023,49110,Maine-et-Loire,"Beaupréau-en-Mauges, Maine-et-Loire, France"
Bécon-les-Granits,2444,1196,3651,2304,921,3627,11.4,9.1,20.2,11.1,8.4,16.1,0.3982,49026,49370,Maine-et-Loire,"Bécon-les-Granits, Maine-et-Loire, France"
Bégrolles-en-Mauges,2393,1889,3174,1938,775,2878,11.1,8,19.4,10.1,6.8,12.7,0.499,49027,49122,Maine-et-Loire,"Bégrolles-en-Mauges, Maine-et-Loire, France"
Béhuard,2817,1844,3782,2643,1164,4185,13.4,10.1,19.2,11.9,9.8,16.2,0.3826,49028,49170,Maine-et-Loire,"Béhuard, Maine-et-Loire, France"
Blaison-Saint-Sulpice,2552,1647,3516,2626,1126,3901,12.4,9.4,17,11.4,8.1,15.6,0.4248,49029,49320,Maine-et-Loire,"Blaison-Saint-Sulpice, Maine-et-Loire, France"
Blou,1895,1138,3790,1793,717,3294,10.4,6.8,16.3,10.3,6.5,14.7,0.4157,49030,49160,Maine-et-Loire,"Blou, Maine-et-Loire, France"
Bouchemaine,2897,2028,4407,3659,2289,5973,13.6,10.5,18.4,12.6,10.1,16.5,0.4957,49035,49080,Maine-et-Loire,"Bouchemaine, Maine-et-Loire, France"
Bouillé-Ménard,1846,903,3393,1315,526,2630,10.1,6.2,16.7,9.3,6.9,11.1,0.4302,49036,49520,Maine-et-Loire,"Bouillé-Ménard, Maine-et-Loire, France"
Bourg-l'Évêque,1841,905,3374,1372,549,2391,9.7,5.4,16.9,9,7.7,14.4,0.4262,49038,49520,Maine-et-Loire,"Bourg-l'Évêque, Maine-et-Loire, France"
Brain-sur-Allonnes,1560,1133,2515,1776,710,3317,10,7.4,18.1,9.7,6.3,12.3,0.4348,49041,49650,Maine-et-Loire,"Brain-sur-Allonnes, Maine-et-Loire, France"
La Breille-les-Pins,1549,1117,3098,1873,801,3260,10.2,7.5,18.4,9.8,7.9,12.8,0.4489,49045,49390,Maine-et-Loire,"La Breille-les-Pins, Maine-et-Loire, France"
Briollay,1739,1362,2472,2829,1306,4958,12.1,9.1,17.3,12.6,9.8,16.8,0.4992,49048,49125,Maine-et-Loire,"Briollay, Maine-et-Loire, France"
Saint-Rémy-la-Varenne,2676,1724,3690,2322,1013,3673,12.3,9.3,16.8,11.5,8.3,15.8,0.489,49317,49250,Maine-et-Loire,"Saint-Rémy-la-Varenne, Maine-et-Loire, France"
Brossay,1613,1166,3226,1625,662,2362,11.1,7.8,18.9,10.2,6.7,13.4,0.425,49053,49700,Maine-et-Loire,"Brossay, Maine-et-Loire, France"
Candé,2858,1773,4763,1632,653,2867,10.6,6.9,17.7,10.5,7.2,13.4,0.4437,49054,49440,Maine-et-Loire,"Candé, Maine-et-Loire, France"
Cantenay-Épinard,3068,2120,4486,3072,1548,4609,13.6,10.5,22.8,14,11.4,19.1,0.4689,49055,49460,Maine-et-Loire,"Cantenay-Épinard, Maine-et-Loire, France"
Carbay,1847,1027,2605,1521,609,2861,11,6.1,17.4,9.4,6.9,11.7,0.3939,49056,49420,Maine-et-Loire,"Carbay, Maine-et-Loire, France"
Cernusson,2171,1151,3205,1698,679,2421,11.4,8.3,18.8,9.6,6.3,12,0.4507,49057,49310,Maine-et-Loire,"Cernusson, Maine-et-Loire, France"
Les Cerqueux,2560,2007,3034,1630,652,2651,11.2,8.1,19.8,9.6,6.3,12.4,0.4007,49058,49360,Maine-et-Loire,"Les Cerqueux, Maine-et-Loire, France"
Brézé,1592,1151,2423,1666,765,2506,10.1,7.4,18.2,9.7,6.7,12.7,0.3736,49046,49260,Maine-et-Loire,"Brézé, Maine-et-Loire, France"
Challain-la-Potherie,1791,857,3081,1572,629,3143,10.9,7.9,17.8,9.2,6.5,13.5,0.4086,49061,49440,Maine-et-Loire,"Challain-la-Potherie, Maine-et-Loire, France"
Chambellay,1903,944,3415,1920,768,3760,10.2,6.1,15.4,10.6,8,18,0.4497,49064,49220,Maine-et-Loire,"Chambellay, Maine-et-Loire, France"
Chenillé-Champteussé,2346,1538,3135,2150,860,4301,10.4,7.7,14.7,8.8,5.9,10.8,0.2843,49067,49220,Maine-et-Loire,"Chenillé-Champteussé, Maine-et-Loire, France"
Champtocé-sur-Loire,2287,1022,3810,1985,794,2953,10.7,7.4,17.3,11.2,8.3,15.6,0.436,49068,49123,Maine-et-Loire,"Champtocé-sur-Loire, Maine-et-Loire, France"
Chanteloup-les-Bois,2606,2215,3147,1805,722,2631,9.6,6.3,16.9,9.9,6.9,13.5,0.4556,49070,49340,Maine-et-Loire,"Chanteloup-les-Bois, Maine-et-Loire, France"
Brissarthe,2011,1489,2764,1893,757,3004,11.2,8,20.1,9.9,7.3,14.4,0.5281,49051,49330,Maine-et-Loire,"Brissarthe, Maine-et-Loire, France"
Chaudefonds-sur-Layon,2595,1058,4144,2368,947,4212,11.2,7.9,16,10.6,8.4,15.8,0.4642,49082,49290,Maine-et-Loire,"Chaudefonds-sur-Layon, Maine-et-Loire, France"
Chavagnes,2318,1218,3503,2123,849,3221,11.3,9.1,18.5,10.6,7.5,12.8,0.5059,49086,49380,Maine-et-Loire,"Chavagnes, Maine-et-Loire, France"
Chazé-sur-Argos,1793,831,3123,1964,786,3526,9.8,6.5,15.6,10.5,7.7,14.3,0.4101,49089,49500,Maine-et-Loire,"Chazé-sur-Argos, Maine-et-Loire, France"
Cheffes,2089,1641,2766,1970,788,3479,10.6,7,16,12.4,7.8,14.3,0.5097,49090,49125,Maine-et-Loire,"Cheffes, Maine-et-Loire, France"
Chemillé-en-Anjou,2246,1124,3333,1843,737,2918,11.3,7.6,18.1,9.8,7.1,12.9,0.468,49092,49120,Maine-et-Loire,"Chemillé-en-Anjou, Maine-et-Loire, France"
Cholet,2202,1383,3562,2295,1240,3577,11.8,8,19.3,12.3,8.7,16.3,0.4953,49099,49300,Maine-et-Loire,"Cholet, Maine-et-Loire, France"
Cizay-la-Madeleine,1620,1179,2403,1605,753,2241,9.7,6.4,17.1,9.7,6.5,13,0.3785,49100,49700,Maine-et-Loire,"Cizay-la-Madeleine, Maine-et-Loire, France"
Cléré-sur-Layon,1568,881,2287,1372,549,2662,9.5,6,16.7,10,7.1,13.8,0.3969,49102,49560,Maine-et-Loire,"Cléré-sur-Layon, Maine-et-Loire, France"
Cornillé-les-Caves,2395,1504,3467,2321,1019,3611,12.4,9.4,17,11.6,8.1,15.7,0.3666,49107,49140,Maine-et-Loire,"Cornillé-les-Caves, Maine-et-Loire, France"
Coron,2277,1838,2828,1683,673,2583,10.5,7.9,17.7,9.5,6.2,12,0.4882,49109,49690,Maine-et-Loire,"Coron, Maine-et-Loire, France"
Corzé,2293,1464,3099,2270,908,3517,11,7.7,19.4,9.5,6,11.4,0.5282,49110,49140,Maine-et-Loire,"Corzé, Maine-et-Loire, France"
Le Coudray-Macouard,2866,1936,3935,1904,935,3486,9.3,6.1,15.2,9.5,8,12.3,0.3649,49112,49260,Maine-et-Loire,"Le Coudray-Macouard, Maine-et-Loire, France"
Courchamps,1620,1177,2410,1948,779,2936,11.2,8,19.3,10,5.5,12.7,0.4239,49113,49260,Maine-et-Loire,"Courchamps, Maine-et-Loire, France"
Courléon,1549,997,2132,1474,590,2898,12.9,8.4,22.7,11.2,8.1,15.2,0.3757,49114,49390,Maine-et-Loire,"Courléon, Maine-et-Loire, France"
