ville,prix_appartement,min_appartement,max_appartement,prix_maison,min_maison,max_maison,loyer_appartement,loyer_min_appartement,loyer_max_appartement,loyer_maison,loyer_min_maison,loyer_max_maison,Taux_Global_TFB,Code_insee,Departement,geo,nb_m2,nb_mois,assurance_pno_annuel,frais_agence_%,frais_notaire_%,garantie_loyer_impaye,compta_annuelle,prevision_entretien_annuel,prevision_gros_oeuvre_annuel,taux_occupation,loyer_mensuel_appart,loyer_mensuel_maison,loyer_annuel_appart,loyer_annuel_maison,garantie_loyer_impaye_annuel_appart,garantie_loyer_impaye_annuel_maison,prix_net_vendeur_appart,prix_net_vendeur_maison,frais_agence_maison,frais_agence_appart,frais_notaire_maison,frais_notaire_appart,prevision_entretien_annuel_appart,prevision_entretien_annuel_maison,prevision_gros_oeuvre_annuel_appart,prevision_gros_oeuvre_annuel_maison,valeur_cadastrale_locative_appart,valeur_cadastrale_locative_maison,TFPB_annuel_appart,TFPB_annuel_maison,charges_copro_annuel,assurance_habitation_annuel,frais_gestion_loc_annuel,prix_achat_total_appart,prix_achat_total_maison,renta_brute_appart,renta_brute_maison,charges_annuelles_appart,charges_annuelles_maison,renta_nette_appart,renta_nette_maison
Casson,3401,2169,4767,2692,1363,3862,12.7,8.9,17.3,13.9,9.9,17.5,45.09,44027,Loire-Atlantique,"Casson, Loire-Atlantique, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,603.25,660.25,7239.0,7923.0,217.17,237.69,170050,134600,6730.0,8502.5,10768.0,13604.0,144.78,158.46,850.25,673.0,2895.6,3169.2,1305.62604,1428.99228,50,0,200,192156.5,152098.0,0.0376724180550749,0.05209141474575603,2072.79604,2216.68228,0.02688539789182255,0.03751737511341372
Le Cellier,2840,1410,4433,2541,1016,4088,13.3,8.9,18.5,13.4,9.4,17.6,35.55,44028,Loire-Atlantique,"Le Cellier, Loire-Atlantique, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,631.75,636.5,7581.0,7638.0,227.42999999999998,229.14,142000,127050,6352.5,7100.0,10164.0,11360.0,151.62,152.76,710.0,635.25,3032.4,3055.2,1078.0182,1086.1236,50,0,200,160460.0,143566.5,0.04724541941916988,0.053201826331351676,1855.4481999999998,1865.2635999999998,0.03568211267605634,0.0402094945547882
Divatte-sur-Loire,2715,1819,4353,2426,981,3944,12.9,10.3,21.9,14.0,9.5,18.8,43.57,44029,Loire-Atlantique,"Divatte-sur-Loire, Loire-Atlantique, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,612.75,665.0,7353.0,7980.0,220.59,239.39999999999998,135750,121300,6065.0,6787.5,9704.0,10860.0,147.06,159.6,678.75,606.5,2941.2,3192.0,1281.48084,1390.7544,50,0,200,153397.5,137069.0,0.04793428836845451,0.0582188532782759,2052.07084,2180.1544,0.03455681585423491,0.042313328323690995
La Chapelle-des-Marais,2567,1620,4112,2417,1016,3912,11.6,8.9,20.5,11.2,7.6,13.2,41.57,44030,Loire-Atlantique,"La Chapelle-des-Marais, Loire-Atlantique, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,551.0,532.0,6612.0,6384.0,198.35999999999999,191.51999999999998,128350,120850,6042.5,6417.5,9668.0,10268.0,132.24,127.68,641.75,604.25,2644.8,2553.6,1099.4433600000002,1061.53152,50,0,200,145035.5,136560.5,0.04558883859468889,0.046748510733337974,1847.8033600000003,1803.05152,0.03284848633610392,0.033545194108105934
La Chapelle-Glain,1696,964,2467,1296,519,2449,10.2,6.4,16.1,9.8,6.5,13.2,30.91,44031,Loire-Atlantique,"La Chapelle-Glain, Loire-Atlantique, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,484.49999999999994,465.50000000000006,5813.999999999999,5586.000000000001,174.41999999999996,167.58,84800,64800,3240.0,4240.0,5184.0,6784.0,116.27999999999999,111.72000000000003,424.0,324.0,2325.5999999999995,2234.4000000000005,718.8429599999998,690.6530400000001,50,0,200,95824.0,73224.0,0.06067373518116546,0.07628646345460506,1443.2629599999998,1408.23304,0.04561213307730839,0.05705461269529117
La Chapelle-Heulin,2793,2038,3722,2710,1084,3851,12.7,9.3,17.1,13.3,8.5,17.0,36.91,44032,Loire-Atlantique,"La Chapelle-Heulin, Loire-Atlantique, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,603.25,631.75,7239.0,7581.0,217.17,227.42999999999998,139650,135500,6775.0,6982.5,10840.0,11172.0,144.78,151.62,698.25,677.5,2895.6,3032.4,1068.76596,1119.25884,50,0,200,157804.5,153115.0,0.04587321654325447,0.0495118048525618,1835.9359599999998,1896.6888399999998,0.03423897315982751,0.037124456519609446
La Chapelle-Launay,2528,1414,3688,2318,927,3512,12.6,9.1,17.0,13.1,8.6,17.3,33.0,44033,Loire-Atlantique,"La Chapelle-Launay, Loire-Atlantique, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,598.5,622.25,7182.0,7467.0,215.45999999999998,224.01,126400,115900,5795.0,6320.0,9272.0,10112.0,143.64000000000001,149.34,632.0,579.5,2872.8,2986.8,948.0240000000001,985.6440000000001,50,0,200,142832.0,130967.0,0.050282849781561556,0.057014362396634266,1713.4840000000002,1759.654,0.038286350397669984,0.04357850450876938
Châteaubriant,1976,1045,3136,1825,849,2969,11.3,7.6,17.6,11.5,8.0,16.0,38.05,44036,Loire-Atlantique,"Châteaubriant, Loire-Atlantique, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,536.75,546.25,6441.0,6555.0,193.23,196.65,98800,91250,4562.5,4940.0,7300.0,7904.0,128.82,131.1,494.0,456.25,2576.4,2622.0,980.3201999999999,997.6709999999999,50,0,200,111644.0,103112.5,0.057692307692307696,0.06357134198084616,1723.5502,1744.321,0.042254396116226584,0.04665466359558734
Château-Thébaud,2886,2007,3844,2595,1038,3879,13.1,9.7,17.1,12.8,8.6,16.4,40.59,44037,Loire-Atlantique,"Château-Thébaud, Loire-Atlantique, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,622.25,608.0,7467.0,7296.0,224.01,218.88,144300,129750,6487.5,7215.0,10380.0,11544.0,149.34,145.92000000000002,721.5,648.75,2986.8,2918.4,1212.3421200000003,1184.5785600000002,50,0,200,163059.0,146617.5,0.04579324048350597,0.04976213617064811,1986.3521200000002,1953.45856,0.033611440521529014,0.036438634133033235
Chauvé,2355,1085,3635,2729,1091,4145,11.5,9.5,19.8,13.1,9.1,16.3,37.7,44038,Loire-Atlantique,"Chauvé, Loire-Atlantique, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,546.25,622.25,6555.0,7467.0,196.65,224.01,117750,136450,6822.5,5887.5,10916.0,9420.0,131.1,149.34,588.75,682.25,2622.0,2986.8,988.4940000000001,1126.0236000000002,50,0,200,133057.5,154188.5,0.049264415760103715,0.04842773618006531,1735.1440000000002,1900.0336000000002,0.036223858106457736,0.03610493908430265
