ville,prix_appartement,min_appartement,max_appartement,prix_maison,min_maison,max_maison,loyer_appartement,loyer_min_appartement,loyer_max_appartement,loyer_maison,loyer_min_maison,loyer_max_maison,Taux_Global_TFB,Code_insee,Departement,geo,nb_m2,nb_mois,assurance_pno_annuel,frais_agence_%,frais_notaire_%,garantie_loyer_impaye,compta_annuelle,prevision_entretien_annuel,prevision_gros_oeuvre_annuel,taux_occupation,loyer_mensuel_appart,loyer_mensuel_maison,loyer_annuel_appart,loyer_annuel_maison,garantie_loyer_impaye_annuel_appart,garantie_loyer_impaye_annuel_maison,prix_net_vendeur_appart,prix_net_vendeur_maison,frais_agence_maison,frais_agence_appart,frais_notaire_maison,frais_notaire_appart,prevision_entretien_annuel_appart,prevision_entretien_annuel_maison,prevision_gros_oeuvre_annuel_appart,prevision_gros_oeuvre_annuel_maison,valeur_cadastrale_locative_appart,valeur_cadastrale_locative_maison,TFPB_annuel_appart,TFPB_annuel_maison,charges_copro_annuel,assurance_habitation_annuel,frais_gestion_loc_annuel,prix_achat_total_appart,prix_achat_total_maison,renta_brute_appart,renta_brute_maison,charges_annuelles_appart,charges_annuelles_maison,renta_nette_appart,renta_nette_maison
Saint-Aignan-sur-Roë,1940,1071,2754,1181,473,2054,10.4,7.5,12.4,8.6,6.9,12.7,53.78,53197,Mayenne,"Saint-Aignan-sur-Roë, Mayenne, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,494.0,408.5,5928.0,4902.0,177.84,147.06,97000,59050,2952.5,4850.0,4724.0,7760.0,118.56,98.04,485.0,295.25,2371.2,1960.8,1275.23136,1054.5182399999999,50,0,200,109610.0,66726.5,0.05408265669190767,0.07346406600076431,2003.07136,1751.5782399999998,0.03580812553599124,0.04721395187818933
Saint-Aubin-du-Désert,1297,754,2432,1200,480,2400,9.2,6.6,14.3,8.4,6.9,12.3,43.94,53198,Mayenne,"Saint-Aubin-du-Désert, Mayenne, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,436.99999999999994,399.0,5243.999999999999,4788.0,157.31999999999996,143.64,64850,60000,3000.0,3242.5,4800.0,5188.0,104.87999999999998,95.76,324.25,300.0,2097.5999999999995,1915.2,921.6854399999996,841.53888,50,0,200,73280.5,67800.0,0.07156064710257161,0.07061946902654867,1629.0054399999995,1535.17888,0.04933092104993825,0.047976712684365784
Saint-Aubin-Fosse-Louvain,1483,770,2765,1126,551,2253,10.4,5.9,16.2,8.3,5.9,10.3,41.08,53199,Mayenne,"Saint-Aubin-Fosse-Louvain, Mayenne, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,494.0,394.25000000000006,5928.0,4731.000000000001,177.84,141.93000000000004,74150,56300,2815.0,3707.5,4504.0,5932.0,118.56,94.62000000000002,370.75,281.5,2371.2,1892.4000000000003,974.0889599999999,777.3979200000001,50,0,200,83789.5,63619.0,0.07074872149851712,0.0743645766201921,1701.92896,1469.3279200000002,0.05043676164674571,0.051268836039547946
Saint-Baudelle,3140,2043,4231,1776,710,2923,11.3,8.8,16.7,10.3,8.0,12.9,43.46,53200,Mayenne,"Saint-Baudelle, Mayenne, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,536.75,489.25,6441.0,5871.0,193.23,176.13,157000,88800,4440.0,7850.0,7104.0,12560.0,128.82,117.42,785.0,444.0,2576.4,2348.4,1119.7034400000002,1020.6146400000001,50,0,200,177410.0,100344.0,0.03630573248407643,0.05850872996890696,1862.9334400000002,1746.7446400000001,0.025805008511357867,0.04110116559036913
Saint-Berthevin,2411,1641,4194,2058,1144,3069,10.6,6.9,16.2,11.2,8.1,15.4,43.2,53201,Mayenne,"Saint-Berthevin, Mayenne, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,503.5,532.0,6042.0,6384.0,181.26,191.51999999999998,120550,102900,5145.0,6027.5,8232.0,9644.0,120.84,127.68,602.75,514.5,2416.8,2553.6,1044.0576,1103.1552000000001,50,0,200,136221.5,116277.0,0.044354231894377906,0.05490337728011559,1775.3176,1844.6752000000001,0.03132165186846423,0.03903888817220947
Saint-Berthevin-la-Tannière,1623,966,2486,1037,415,2074,9.9,5.8,15.6,8.8,6.2,12.6,42.83,53202,Mayenne,"Saint-Berthevin-la-Tannière, Mayenne, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,470.25,418.00000000000006,5643.0,5016.000000000001,169.29,150.48000000000002,81150,51850,2592.5,4057.5,4148.0,6492.0,112.86,100.32000000000002,405.75,259.25,2257.2,2006.4000000000003,966.7587599999999,859.34112,50,0,200,91699.5,58590.5,0.06153795822223676,0.08561114856504043,1686.04876,1559.82112,0.04315128479435548,0.05898872479326855
Saint-Brice,1840,1031,2257,1244,498,2087,10.2,7.0,18.0,9.4,7.0,12.9,43.63,53203,Mayenne,"Saint-Brice, Mayenne, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,484.49999999999994,446.5,5813.999999999999,5358.0,174.41999999999996,160.73999999999998,92000,62200,3110.0,4600.0,4976.0,7360.0,116.27999999999999,107.16,460.0,311.0,2325.5999999999995,2143.2,1014.6592799999999,935.0781599999999,50,0,200,103960.0,70286.0,0.055925355906117726,0.07623139743334377,1739.07928,1645.8181599999998,0.03919700577145055,0.05281538058788379
Saint-Calais-du-Désert,1420,952,2393,923,388,1618,9.6,6.3,14.3,9.1,6.6,14.1,44.28,53204,Mayenne,"Saint-Calais-du-Désert, Mayenne, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,456.0,432.25,5472.0,5187.0,164.16,155.60999999999999,71000,46150,2307.5,3550.0,3692.0,5680.0,109.44,103.74000000000001,355.0,230.75,2188.8,2074.8,969.2006400000001,918.7214400000001,50,0,200,80230.0,52149.5,0.06820391374797458,0.09946404088246293,1683.36064,1624.3314400000002,0.047222228094229095,0.06831644713755645
Saint-Charles-la-Forêt,1816,1200,3100,1427,571,2710,10.6,8.7,16.8,9.8,7.3,12.1,46.57,53206,Mayenne,"Saint-Charles-la-Forêt, Mayenne, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,503.5,465.50000000000006,6042.0,5586.000000000001,181.26,167.58,90800,71350,3567.5,4540.0,5708.0,7264.0,120.84,111.72000000000003,454.0,356.75,2416.8,2234.4000000000005,1125.50376,1040.5600800000002,50,0,200,102604.0,80625.5,0.058886593115278156,0.06928329126641077,1856.76376,1758.1400800000001,0.04079018595766247,0.04747703790984243
Saint-Cyr-en-Pail,1431,966,2432,1020,408,2040,10.6,7.3,17.0,8.2,6.0,11.1,40.4,53208,Mayenne,"Saint-Cyr-en-Pail, Mayenne, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,503.5,389.49999999999994,6042.0,4673.999999999999,181.26,140.21999999999997,71550,51000,2550.0,3577.5,4080.0,5724.0,120.84,93.47999999999999,357.75,255.0,2416.8,1869.5999999999997,976.3872,755.3183999999998,50,0,200,80851.5,57630.0,0.07472959685349066,0.08110359187922955,1707.6471999999999,1445.5383999999997,0.05360881121562371,0.056020503210133604
Saint-Cyr-le-Gravelais,2188,1455,3394,1499,600,2551,10.0,6.9,13.6,9.1,6.9,12.4,36.82,53209,Mayenne,"Saint-Cyr-le-Gravelais, Mayenne, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,475.0,432.25,5700.0,5187.0,171.0,155.60999999999999,109400,74950,3747.5,5470.0,5996.0,8752.0,114.0,103.74000000000001,547.0,374.75,2280.0,2074.8,839.4960000000001,763.9413600000001,50,0,200,123622.0,84693.5,0.046108297875782626,0.06124436940261059,1560.496,1469.5513600000002,0.033485172542104154,0.043892962742123065
Saint-Denis-d'Anjou,1826,995,2217,1441,576,2624,9.3,6.5,10.9,9.3,6.9,12.0,52.66,53210,Mayenne,"Saint-Denis-d'Anjou, Mayenne, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,441.75000000000006,441.75000000000006,5301.000000000001,5301.000000000001,159.03000000000003,159.03000000000003,91300,72050,3602.5,4565.0,5764.0,7304.0,106.02000000000002,106.02000000000002,456.5,360.25,2120.4000000000005,2120.4000000000005,1116.6026400000003,1116.6026400000003,50,0,200,103169.0,81416.5,0.051381713499210044,0.06510965222037303,1825.6326400000003,1825.6326400000003,0.03368615921449273,0.04268627808859384
Saint-Denis-de-Gastines,1606,854,3013,1193,477,2385,10.5,5.8,15.9,7.8,5.7,10.9,51.79,53211,Mayenne,"Saint-Denis-de-Gastines, Mayenne, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,498.75,370.5,5985.0,4446.0,179.54999999999998,133.38,80300,59650,2982.5,4015.0,4772.0,6424.0,119.7,88.92,401.5,298.25,2394.0,1778.4,1239.8526,921.0333600000001,50,0,200,90739.0,67404.5,0.06595840818170798,0.06595998783464012,1969.4026,1604.41336,0.044254371328756106,0.0421572245176509
Saint-Denis-du-Maine,2014,1409,3207,1529,612,3058,10.7,8.7,16.9,9.9,7.3,11.7,46.19,53212,Mayenne,"Saint-Denis-du-Maine, Mayenne, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,508.25,470.25,6099.0,5643.0,182.97,169.29,100700,76450,3822.5,5035.0,6116.0,8056.0,121.98,112.86,503.5,382.25,2439.6,2257.2,1126.85124,1042.6006799999998,50,0,200,113791.0,86388.5,0.053598263483052265,0.06532119437193608,1859.82124,1761.8906799999997,0.03725407773901275,0.04492622652320622
Saint-Ellier-du-Maine,1901,1087,2675,1289,516,2579,10.1,6.0,16.0,8.8,6.2,12.6,40.99,53213,Mayenne,"Saint-Ellier-du-Maine, Mayenne, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,479.75,418.00000000000006,5757.0,5016.000000000001,172.70999999999998,150.48000000000002,95050,64450,3222.5,4752.5,5156.0,7604.0,115.14,100.32000000000002,475.25,322.25,2302.8,2006.4000000000003,943.9177200000001,822.4233600000001,50,0,200,107406.5,72828.5,0.05360010800091242,0.06887413581221638,1666.6277200000002,1522.9033600000002,0.03808309813651874,0.047963319854177976
Saint-Erblon,1867,919,3167,1210,506,2421,11.0,6.1,19.2,9.0,6.0,11.5,48.4,53214,Mayenne,"Saint-Erblon, Mayenne, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,522.5,427.5,6270.0,5130.0,188.1,153.9,93350,60500,3025.0,4667.5,4840.0,7468.0,125.4,102.60000000000001,466.75,302.5,2508.0,2052.0,1213.872,993.168,50,0,200,105485.5,68365.0,0.05943944902379948,0.07503839684048856,1951.9720000000002,1697.068,0.04093480146560428,0.05021475901411541
Saint-Fraimbault-de-Prières,1907,1474,3180,1359,543,2328,9.3,6.4,15.1,8.4,6.5,12.2,46.07,53216,Mayenne,"Saint-Fraimbault-de-Prières, Mayenne, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,441.75000000000006,399.0,5301.000000000001,4788.0,159.03000000000003,143.64,95350,67950,3397.5,4767.5,5436.0,7628.0,106.02000000000002,95.76,476.75,339.75,2120.4000000000005,1915.2,976.8682800000003,882.33264,50,0,200,107745.5,76783.5,0.049199270503176476,0.062357147043310086,1685.8982800000003,1575.97264,0.033552229281037266,0.04183226031634401
Sainte-Gemmes-le-Robert,1976,1397,3393,1676,671,3353,9.3,5.5,16.3,7.2,5.5,10.5,49.13,53218,Mayenne,"Sainte-Gemmes-le-Robert, Mayenne, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,441.75000000000006,342.0,5301.000000000001,4104.0,159.03000000000003,123.11999999999999,98800,83800,4190.0,4940.0,6704.0,7904.0,106.02000000000002,82.08,494.0,419.0,2120.4000000000005,1641.6,1041.7525200000005,806.51808,50,0,200,111644.0,94694.0,0.047481279782164744,0.04333959912982871,1750.7825200000004,1479.6380800000002,0.03179944717136613,0.027714130990347856
Saint-Georges-Buttavent,1921,1438,3206,1333,533,2667,9.1,6.2,14.8,7.8,5.7,10.8,44.72,53219,Mayenne,"Saint-Georges-Buttavent, Mayenne, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,432.25,370.5,5187.0,4446.0,155.60999999999999,133.38,96050,66650,3332.5,4802.5,5332.0,7684.0,103.74000000000001,88.92,480.25,333.25,2074.8,1778.4,927.8505600000001,795.30048,50,0,200,108536.5,75314.5,0.04779037466658682,0.05903245722935158,1633.46056,1478.68048,0.03274050149028207,0.03939904692987406
Saint-Georges-le-Fléchard,2125,1450,3459,1361,544,2455,10.4,6.8,16.7,8.2,6.8,11.5,56.06,53220,Mayenne,"Saint-Georges-le-Fléchard, Mayenne, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,494.0,389.49999999999994,5928.0,4673.999999999999,177.84,140.21999999999997,106250,68050,3402.5,5312.5,5444.0,8500.0,118.56,93.47999999999999,531.25,340.25,2371.2,1869.5999999999997,1329.29472,1048.0977599999999,50,0,200,120062.5,76896.5,0.049374284226965125,0.06078300052668196,2057.13472,1738.31776,0.03224041878188443,0.038177059293986064
Saint-Georges-sur-Erve,1928,1484,2998,1150,460,2299,9.3,5.8,16.7,8.0,6.0,10.7,45.95,53221,Mayenne,"Saint-Georges-sur-Erve, Mayenne, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,441.75000000000006,380.0,5301.000000000001,4560.0,159.03000000000003,136.79999999999998,96400,57500,2875.0,4820.0,4600.0,7712.0,106.02000000000002,91.2,482.0,287.5,2120.4000000000005,1824.0,974.3238000000003,838.128,50,0,200,108932.0,64975.0,0.04866338633275806,0.07018083878414776,1683.3538000000003,1524.9279999999999,0.03321013292696361,0.0467113813005002
Saint-Germain-d'Anxure,2155,1619,3553,1348,539,2696,10.3,7.2,16.8,9.0,6.8,12.0,43.4,53222,Mayenne,"Saint-Germain-d'Anxure, Mayenne, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,489.25,427.5,5871.0,5130.0,176.13,153.9,107750,67400,3370.0,5387.5,5392.0,8620.0,117.42,102.60000000000001,538.75,337.0,2348.4,2052.0,1019.2056,890.568,50,0,200,121757.5,76162.0,0.048218795556741884,0.06735642446364329,1745.3355999999999,1594.4679999999998,0.033884273248054535,0.04642120742627557
Saint-Germain-de-Coulamer,1285,729,2436,944,378,1747,9.1,6.6,14.5,8.4,6.8,12.2,45.49,53223,Mayenne,"Saint-Germain-de-Coulamer, Mayenne, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,432.25,399.0,5187.0,4788.0,155.60999999999999,143.64,64250,47200,2360.0,3212.5,3776.0,5140.0,103.74000000000001,95.76,321.25,236.0,2074.8,1915.2,943.8265200000002,871.2244800000001,50,0,200,72602.5,53336.0,0.0714438208050687,0.08977051147442627,1649.4365200000002,1564.8644800000002,0.048725091835680585,0.06043076946152692
Saint-Germain-le-Fouilloux,3144,2056,4222,1845,738,3071,11.8,9.4,17.3,11.3,8.7,14.3,44.5,53224,Mayenne,"Saint-Germain-le-Fouilloux, Mayenne, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,560.5,536.75,6726.0,6441.0,201.78,193.23,157200,92250,4612.5,7860.0,7380.0,12576.0,134.52,128.82,786.0,461.25,2690.4,2576.4,1197.228,1146.498,50,0,200,177636.0,104242.5,0.03786394649733162,0.061788617886178863,1949.008,1889.728,0.02689202639104686,0.04366042640957383
Saint-Germain-le-Guillaume,2154,1626,2964,1412,669,2824,9.5,5.6,14.9,7.7,5.6,11.9,57.35,53225,Mayenne,"Saint-Germain-le-Guillaume, Mayenne, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,451.25,365.75,5415.0,4389.0,162.45,131.67,107700,70600,3530.0,5385.0,5648.0,8616.0,108.3,87.78,538.5,353.0,2166.0,1755.6,1242.201,1006.8366000000001,50,0,200,121701.0,79778.0,0.04449429339118002,0.05501516708867106,1954.651,1688.5066000000002,0.028433201041897768,0.03385010153175061
Saint-Hilaire-du-Maine,1949,1265,3380,1358,543,2609,10.2,6.8,15.9,9.3,7.2,13.7,51.67,53226,Mayenne,"Saint-Hilaire-du-Maine, Mayenne, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,484.49999999999994,441.75000000000006,5813.999999999999,5301.000000000001,174.41999999999996,159.03000000000003,97450,67900,3395.0,4872.5,5432.0,7796.0,116.27999999999999,106.02000000000002,487.25,339.5,2325.5999999999995,2120.4000000000005,1201.6375199999998,1095.6106800000002,50,0,200,110118.5,76727.0,0.05279766796678123,0.0690891081366403,1926.0575199999998,1804.6406800000002,0.03530689647970141,0.0455688260977231
Blandouet,1995,1341,2535,1095,438,2191,10.3,6.1,18.4,8.4,6.0,12.4,,53032,Mayenne,"Blandouet, Mayenne, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,489.25,399.0,5871.0,4788.0,176.13,143.64,99750,54750,2737.5,4987.5,4380.0,7980.0,117.42,95.76,498.75,273.75,2348.4,1915.2,,,50,0,200,112717.5,61867.5,0.05208596713021492,0.07739119893320402,,,,
Saint-Jean-sur-Mayenne,3059,1998,4114,1894,757,2710,10.8,8.9,17.2,9.6,7.8,12.8,49.4,53229,Mayenne,"Saint-Jean-sur-Mayenne, Mayenne, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,513.0,456.0,6156.0,5472.0,184.68,164.16,152950,94700,4735.0,7647.5,7576.0,12236.0,123.12,109.44,764.75,473.5,2462.4,2188.8,1216.4256,1081.2672,50,0,200,172833.5,107011.0,0.03561809487165393,0.05113493005391969,1951.1056,1795.4272,0.024329163038415584,0.034356961433871284
Saint-Julien-du-Terroux,1414,916,2606,1170,468,2341,9.6,5.7,16.8,8.4,6.3,12.4,37.03,53230,Mayenne,"Saint-Julien-du-Terroux, Mayenne, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,456.0,399.0,5472.0,4788.0,164.16,143.64,70700,58500,2925.0,3535.0,4680.0,5656.0,109.44,95.76,353.5,292.5,2188.8,1915.2,810.5126400000001,709.19856,50,0,200,79891.0,66105.0,0.06849332215143132,0.07243022464261402,1524.6726400000002,1402.8385600000001,0.04940891164211238,0.05120885621359957
Saint-Léger,2114,1482,3376,1478,591,2956,10.1,6.9,16.3,8.7,6.7,13.8,53.74,53232,Mayenne,"Saint-Léger, Mayenne, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,479.75,413.24999999999994,5757.0,4958.999999999999,172.70999999999998,148.76999999999995,105700,73900,3695.0,5285.0,5912.0,8456.0,115.14,99.17999999999998,528.5,369.5,2302.8,1983.5999999999997,1237.5247200000001,1065.9866399999999,50,0,200,119441.0,83507.0,0.04819952947480346,0.05938424323709388,1960.2347200000002,1764.7566399999998,0.03178778878274629,0.038251204809177666
Saint-Loup-du-Dorat,1824,1035,2240,1229,492,2235,10.6,6.8,17.9,9.0,6.4,12.8,51.53,53233,Mayenne,"Saint-Loup-du-Dorat, Mayenne, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,503.5,427.5,6042.0,5130.0,181.26,153.9,91200,61450,3072.5,4560.0,4916.0,7296.0,120.84,102.60000000000001,456.0,307.25,2416.8,2052.0,1245.37704,1057.3956,50,0,200,103056.0,69438.5,0.0586283185840708,0.07387832398453308,1976.63704,1761.2956,0.03944809579257879,0.048513496115267465
Saint-Loup-du-Gast,1843,1412,3083,1356,542,2711,10.9,7.4,17.3,8.4,6.8,11.4,47.6,53234,Mayenne,"Saint-Loup-du-Gast, Mayenne, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,517.75,399.0,6213.0,4788.0,186.39,143.64,92150,67800,3390.0,4607.5,5424.0,7372.0,124.26,95.76,460.75,339.0,2485.2,1915.2,1182.9551999999999,911.6352,50,0,200,104129.5,76614.0,0.05966608886050543,0.06249510533322891,1919.3451999999997,1605.2752,0.04123379829923317,0.04154233952019213
Sainte-Marie-du-Bois,1424,935,2625,1204,485,2408,9.8,6.2,15.0,8.4,6.1,12.3,42.05,53235,Mayenne,"Sainte-Marie-du-Bois, Mayenne, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,465.50000000000006,399.0,5586.000000000001,4788.0,167.58,143.64,71200,60200,3010.0,3560.0,4816.0,5696.0,111.72000000000003,95.76,356.0,301.0,2234.4000000000005,1915.2,939.5652000000002,805.3416000000001,50,0,200,80456.0,68026.0,0.06942925325643831,0.07038485285038074,1657.1452000000004,1498.9816,0.04883234065824799,0.04834943109987358
Saint-Mars-du-Désert,1281,731,2423,932,373,1848,9.2,6.7,14.6,8.4,6.8,12.5,44.65,53236,Mayenne,"Saint-Mars-du-Désert, Mayenne, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,436.99999999999994,399.0,5243.999999999999,4788.0,157.31999999999996,143.64,64050,46600,2330.0,3202.5,3728.0,5124.0,104.87999999999998,95.76,320.25,233.0,2097.5999999999995,1915.2,936.5783999999996,855.1367999999999,50,0,200,72376.5,52658.0,0.0724544569024476,0.09092635496980515,1643.8983999999996,1548.7767999999999,0.0497413055342549,0.061514360590983336
Saint-Mars-sur-Colmont,1926,1486,3175,1247,499,2495,9.6,6.1,14.7,7.5,5.4,10.8,48.45,53237,Mayenne,"Saint-Mars-sur-Colmont, Mayenne, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,456.0,356.25,5472.0,4275.0,164.16,128.25,96300,62350,3117.5,4815.0,4988.0,7704.0,109.44,85.5,481.5,311.75,2188.8,1710.0,1060.4736000000003,828.495,50,0,200,108819.0,70455.5,0.050285336200479695,0.06067659728481098,1774.6336000000001,1506.745,0.03397721353807699,0.03929082896296244
Saint-Mars-sur-la-Futaie,1841,1129,2867,1240,496,2480,9.9,5.8,16.3,9.5,6.3,11.5,44.71,53238,Mayenne,"Saint-Mars-sur-la-Futaie, Mayenne, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,470.25,451.25,5643.0,5415.0,169.29,162.45,92050,62000,3100.0,4602.5,4960.0,7364.0,112.86,108.3,460.25,310.0,2257.2,2166.0,1009.19412,968.4186,50,0,200,104016.5,70060.0,0.05425100825349824,0.07729089351984014,1728.48412,1680.8686,0.037633605053044465,0.05329904938624037
Saint-Martin-du-Limet,1837,905,3371,1343,537,2686,10.5,7.3,15.4,8.5,6.8,12.8,50.39,53240,Mayenne,"Saint-Martin-du-Limet, Mayenne, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,498.75,403.75,5985.0,4845.0,179.54999999999998,145.35,91850,67150,3357.5,4592.5,5372.0,7348.0,119.7,96.9,459.25,335.75,2394.0,1938.0,1206.3366,976.5582,50,0,200,103790.5,75879.5,0.057664237092990206,0.06385123781785594,1935.8866,1671.9082,0.03901237011094465,0.041817510658346456
Saint-Michel-de-la-Roë,2664,1701,3687,1286,544,2573,10.6,7.0,13.8,8.0,6.3,11.8,44.84,53242,Mayenne,"Saint-Michel-de-la-Roë, Mayenne, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,503.5,380.0,6042.0,4560.0,181.26,136.79999999999998,133200,64300,3215.0,6660.0,5144.0,10656.0,120.84,91.2,666.0,321.5,2416.8,1824.0,1083.6931200000001,817.8816,50,0,200,150516.0,72659.0,0.040141911823327756,0.06275891493139184,1814.9531200000001,1504.6816,0.028083704589545296,0.04205010253375356
Saint-Ouën-des-Toits,1996,1300,3469,1677,671,2796,10.9,8.9,17.2,9.6,7.1,12.0,51.76,53243,Mayenne,"Saint-Ouën-des-Toits, Mayenne, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,517.75,456.0,6213.0,5472.0,186.39,164.16,99800,83850,4192.5,4990.0,6708.0,7984.0,124.26,109.44,499.0,419.25,2485.2,2188.8,1286.33952,1132.92288,50,0,200,112774.0,94750.5,0.05509248585666909,0.057751674133645736,2022.7295199999999,1847.08288,0.03715635235071914,0.03825749858839795
Saint-Pierre-des-Landes,1974,1093,2716,1226,490,2451,10.0,5.9,15.9,8.2,5.9,11.4,47.4,53245,Mayenne,"Saint-Pierre-des-Landes, Mayenne, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,475.0,389.49999999999994,5700.0,4673.999999999999,171.0,140.21999999999997,98700,61300,3065.0,4935.0,4904.0,7896.0,114.0,93.47999999999999,493.5,306.5,2280.0,1869.5999999999997,1080.72,886.1903999999998,50,0,200,111531.0,69269.0,0.051106867149043764,0.06747607154715672,1801.72,1576.4103999999998,0.03495243474908321,0.04471826646840577
Saint-Pierre-des-Nids,1514,999,2424,1327,531,2328,9.4,6.8,13.9,9.0,7.7,15.4,47.4,53246,Mayenne,"Saint-Pierre-des-Nids, Mayenne, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,446.5,427.5,5358.0,5130.0,160.73999999999998,153.9,75700,66350,3317.5,3785.0,5308.0,6056.0,107.16,102.60000000000001,378.5,331.75,2143.2,2052.0,1015.8767999999999,972.648,50,0,200,85541.0,74975.5,0.06263663038776728,0.06842235130142513,1726.6167999999998,1676.548,0.04245196104791855,0.04606107328393942
Saint-Pierre-la-Cour,2013,1269,2878,1784,726,2826,10.1,7.0,15.5,8.3,6.3,10.4,36.38,53247,Mayenne,"Saint-Pierre-la-Cour, Mayenne, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,479.75,394.25000000000006,5757.0,4731.000000000001,172.70999999999998,141.93000000000004,100650,89200,4460.0,5032.5,7136.0,8052.0,115.14,94.62000000000002,503.25,446.0,2302.8,1892.4000000000003,837.7586400000001,688.4551200000002,50,0,200,113734.5,100796.0,0.05061788639331074,0.046936386364538285,1560.46864,1380.3851200000004,0.036897611190975475,0.033241546093098935
Saint-Pierre-sur-Erve,2956,1908,4152,1334,534,2669,10.6,8.7,14.4,9.6,6.4,13.9,57.76,53248,Mayenne,"Saint-Pierre-sur-Erve, Mayenne, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,503.5,456.0,6042.0,5472.0,181.26,164.16,147800,66700,3335.0,7390.0,5336.0,11824.0,120.84,109.44,739.0,333.5,2416.8,2188.8,1395.94368,1264.25088,50,0,200,167014.0,75371.0,0.03617660794903421,0.07260086770773905,2127.20368,1978.41088,0.023439929107739472,0.04635190086372743
Saint-Martin-de-Connée,1986,1464,3037,1130,452,2260,9.9,6.2,14.6,8.2,6.5,11.5,,53239,Mayenne,"Saint-Martin-de-Connée, Mayenne, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,470.25,389.49999999999994,5643.0,4673.999999999999,169.29,140.21999999999997,99300,56500,2825.0,4965.0,4520.0,7944.0,112.86,93.47999999999999,496.5,282.5,2257.2,1869.5999999999997,,,50,0,200,112209.0,63845.0,0.05029008368312702,0.07320855196178243,,,,
Saint-Poix,2182,1439,3368,1315,526,2314,10.2,6.7,15.5,9.1,7.1,12.1,51.62,53250,Mayenne,"Saint-Poix, Mayenne, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,484.49999999999994,432.25,5813.999999999999,5187.0,174.41999999999996,155.60999999999999,109100,65750,3287.5,5455.0,5260.0,8728.0,116.27999999999999,103.74000000000001,545.5,328.75,2325.5999999999995,2074.8,1200.4747199999997,1071.01176,50,0,200,123283.0,74297.5,0.04715978683192329,0.06981392375248158,1924.8947199999998,1776.62176,0.03154616029785128,0.045901655371984255
Saint-Quentin-les-Anges,1849,878,3450,1216,486,1972,10.2,6.6,16.3,9.0,7.3,13.9,62.59,53251,Mayenne,"Saint-Quentin-les-Anges, Mayenne, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,484.49999999999994,427.5,5813.999999999999,5130.0,174.41999999999996,153.9,92450,60800,3040.0,4622.5,4864.0,7396.0,116.27999999999999,102.60000000000001,462.25,304.0,2325.5999999999995,2052.0,1455.5930399999997,1284.3468,50,0,200,104468.5,68704.0,0.055653139463091736,0.07466814159292036,2180.01304,1988.2468,0.03478548040796986,0.045728825104797394
