ville,prix_appartement,min_appartement,max_appartement,prix_maison,min_maison,max_maison,loyer_appartement,loyer_min_appartement,loyer_max_appartement,loyer_maison,loyer_min_maison,loyer_max_maison,prix_global,min_global,max_global,loyer_global,loyer_min_global,loyer_max_global,ratio_m2_apt,ratio_m2_msn,ratio_m2_glb,Taux_Global_TFB,Code_insee,Code_postal,Departement,geo,INDICE_TENSION_LOG,CROI_POP_16_22,
Saint-Hilaire-de-Voust,1340,807,1725,1257,503,2271,9.3,6.8,12.2,9,7.2,11.1,1298.5,655,1998,9.15,7,11.65,8.33,8.59,8.46,0.3291,85229,85120,Vendée,"Saint-Hilaire-de-Voust, Vendée, France",0.273,2.45,
Saint-Hilaire-la-Forêt,3418,1367,5102,2651,1061,3850,10.6,7.2,14.5,,,,3034.5,1214,4476,5.3,3.6,7.25,3.72,0.00,2.10,0.3291,85231,85440,Vendée,"Saint-Hilaire-la-Forêt, Vendée, France",0.301,0.86,
Saint-Hilaire-le-Vouhis,1590,1133,2454,1686,674,3086,11.3,8.8,20.2,9.8,6.7,13.2,1638,903.5,2770,10.55,7.75,16.7,8.53,6.98,7.73,0.325,85232,85480,Vendée,"Saint-Hilaire-le-Vouhis, Vendée, France",0.344,4.29,
Saint-Jean-de-Monts,3056,1680,4884,3409,1545,5269,14.2,9.2,25.7,13.1,9.4,16.5,3232.5,1612.5,5076.5,13.65,9.3,21.1,5.58,4.61,5.07,0.3869,85234,85160,Vendée,"Saint-Jean-de-Monts, Vendée, France",0.35,2,
Saint-Juire-Champgillon,1579,1122,2414,1481,592,2784,9,6.8,16.2,9.7,7,13.1,1530,857,2599,9.35,6.9,14.65,6.84,7.86,7.33,0.3768,85235,85210,Vendée,"Saint-Juire-Champgillon, Vendée, France",0.282,5.69,
Saint-Julien-des-Landes,2454,1566,3283,2631,1332,4249,11.2,8.5,18.6,11.4,7.7,14.5,2542.5,1449,3766,11.3,8.1,16.55,5.48,5.20,5.33,0.3659,85236,85150,Vendée,"Saint-Julien-des-Landes, Vendée, France",0.414,17.81,
Saint-Laurent-de-la-Salle,1580,1123,2417,1350,685,2700,9.3,5.6,15,9.2,7,12.6,1465,904,2558.5,9.25,6.3,13.8,7.06,8.18,7.58,0.3466,85237,85410,Vendée,"Saint-Laurent-de-la-Salle, Vendée, France",0.264,8.54,
Saint-Laurent-sur-Sèvre,2382,1269,3275,2109,854,3176,11.3,7.5,18.8,11.1,7,13.9,2245.5,1061.5,3225.5,11.2,7.25,16.35,5.69,6.32,5.99,0.3385,85238,85290,Vendée,"Saint-Laurent-sur-Sèvre, Vendée, France",0.399,0.03,
Saint-Maixent-sur-Vie,2443,1415,3391,2540,1105,3845,11.3,9.1,18.9,11.4,7.9,14.1,2491.5,1260,3618,11.35,8.5,16.5,5.55,5.39,5.47,0.4054,85239,85220,Vendée,"Saint-Maixent-sur-Vie, Vendée, France",0.375,13.36,
Saint-Malô-du-Bois,2419,1335,3435,2032,850,3331,11,7.9,19.3,11,7.4,14.3,2225.5,1092.5,3383,11,7.65,16.8,5.46,6.50,5.93,0.3694,85240,85590,Vendée,"Saint-Malô-du-Bois, Vendée, France",0.384,0.87,
Saint-Mars-la-Réorthe,2427,1336,3470,2009,804,3440,11.1,8.2,19.8,9.6,6.5,13.7,2218,1070,3455,10.35,7.35,16.75,5.49,5.73,5.60,0.4019,85242,85590,Vendée,"Saint-Mars-la-Réorthe, Vendée, France",0.361,7.05,
Brem-sur-Mer,3797,1978,6213,3201,1281,5108,9.2,6.3,12,11.5,8,15.9,3499,1629.5,5660.5,10.35,7.15,13.95,2.91,4.31,3.55,0.3482,85243,85470,Vendée,"Brem-sur-Mer, Vendée, France",0.359,10.3,
Saint-Martin-de-Fraigneau,1512,897,2299,1646,667,2389,11.4,9.1,20.2,9.9,7.6,13.4,1579,782,2344,10.65,8.35,16.8,9.05,7.22,8.09,0.3525,85244,85200,Vendée,"Saint-Martin-de-Fraigneau, Vendée, France",0.305,-1.6,
Saint-Martin-des-Fontaines,1563,1101,2377,1314,526,2606,10.7,7.3,17.9,10.4,6.7,13.3,1438.5,813.5,2491.5,10.55,7,15.6,8.21,9.50,8.80,0.3222,85245,85570,Vendée,"Saint-Martin-des-Fontaines, Vendée, France",0.247,-3.43,
Saint-Martin-des-Noyers,1637,1147,2592,1901,760,2922,10.6,7.4,19,11.6,9.2,14.7,1769,953.5,2757,11.1,8.3,16.85,7.77,7.32,7.53,0.3092,85246,85140,Vendée,"Saint-Martin-des-Noyers, Vendée, France",0.408,9.44,
Saint-Martin-des-Tilleuls,2423,1239,3254,1944,778,2838,10.4,7.5,18.3,10,6.6,13.2,2183.5,1008.5,3046,10.2,7.05,15.75,5.15,6.17,5.61,0.3749,85247,85130,Vendée,"Saint-Martin-des-Tilleuls, Vendée, France",0.384,7.72,
Saint-Mathurin,2419,1607,3175,2901,1254,3960,14.1,10.3,21.5,12.4,8.5,15.3,2660,1430.5,3567.5,13.25,9.4,18.4,6.99,5.13,5.98,0.3979,85250,85150,Vendée,"Saint-Mathurin, Vendée, France",0.408,8.82,
Saint-Maurice-des-Noues,1340,819,1719,1318,527,2374,9.8,8.3,11.9,9.5,7.5,13.4,1329,673,2046.5,9.65,7.9,12.65,8.78,8.65,8.71,0.3417,85251,85120,Vendée,"Saint-Maurice-des-Noues, Vendée, France",0.305,-2.6,
Saint-Maurice-le-Girard,1318,688,2387,1419,568,2449,9.2,5.3,14.1,9.4,7.2,11.8,1368.5,628,2418,9.3,6.25,12.95,8.38,7.95,8.15,0.3474,85252,85390,Vendée,"Saint-Maurice-le-Girard, Vendée, France",0.291,1.36,
