ville,prix_appartement,min_appartement,max_appartement,prix_maison,min_maison,max_maison,loyer_appartement,loyer_min_appartement,loyer_max_appartement,loyer_maison,loyer_min_maison,loyer_max_maison,prix_global,min_global,max_global,loyer_global,loyer_min_global,loyer_max_global,ratio_m2_apt,ratio_m2_msn,ratio_m2_glb,Taux_Global_TFB,Code_insee,Code_postal,Departement,geo,INDICE_TENSION_LOG,CROI_POP_16_22,
Montreuil-sur-Loir,2352,1678,3128,2418,1051,3609,10.4,8.4,14,11.7,9.8,15,2385,1364.5,3368.5,11.05,9.1,14.5,5.31,5.81,5.56,0.4276,49216,49140,Maine-et-Loire,"Montreuil-sur-Loir, Maine-et-Loire, France",0.325,-0.88,
Montreuil-sur-Maine,1861,918,3117,2158,1092,3650,10.3,8.4,14.4,12.2,9.6,18.5,2009.5,1005,3383.5,11.25,9,16.45,6.64,6.78,6.72,0.4135,49217,49220,Maine-et-Loire,"Montreuil-sur-Maine, Maine-et-Loire, France",0.343,6.45,
Montrevault-sur-Èvre,1785,1096,2304,1674,670,2872,11.5,7,19.3,9.8,6.9,13,1729.5,883,2588,10.65,6.95,16.15,7.73,7.03,7.39,0.3775,49218,49110,Maine-et-Loire,"Montrevault-sur-Èvre, Maine-et-Loire, France",0.466,-1.8,
Montsoreau,1813,1059,2509,2264,1048,4528,9.6,8.1,11,,,,2038.5,1053.5,3518.5,4.8,4.05,5.5,6.35,0.00,2.83,0.4692,49219,49730,Maine-et-Loire,"Montsoreau, Maine-et-Loire, France",0.219,-5.67,
Morannes sur Sarthe-Daumeray,1955,1127,3826,1608,643,2908,12.1,8.7,17.6,10.2,8,13.3,1781.5,885,3367,11.15,8.35,15.45,7.43,7.61,7.51,0.4334,49220,49640,Maine-et-Loire,"Morannes sur Sarthe-Daumeray, Maine-et-Loire, France",0.397,1.43,
Mouliherne,1599,1026,2186,1370,548,2317,9.1,5.7,16.4,9.6,7.4,12.1,1484.5,787,2251.5,9.35,6.55,14.25,6.83,8.41,7.56,0.4532,49221,49390,Maine-et-Loire,"Mouliherne, Maine-et-Loire, France",0.242,-7.41,
Mozé-sur-Louet,2840,1910,3750,2744,1117,4038,11.7,8.5,17.5,10.9,8.3,14.7,2792,1513.5,3894,11.3,8.4,16.1,4.94,4.77,4.86,0.4068,49222,49610,Maine-et-Loire,"Mozé-sur-Louet, Maine-et-Loire, France",0.366,1.35,
Mûrs-Erigné,2857,1976,3814,2988,1691,4448,13,10,23.4,13.4,9.6,18,2922.5,1833.5,4131,13.2,9.8,20.7,5.46,5.38,5.42,0.5446,49223,49610,Maine-et-Loire,"Mûrs-Erigné, Maine-et-Loire, France",0.463,13.19,
Neuillé,1586,1128,3173,1966,834,3075,10.1,5.7,16.3,9.9,6.3,14.2,1776,981,3124,10,6,15.25,7.64,6.04,6.76,0.434,49224,49680,Maine-et-Loire,"Neuillé, Maine-et-Loire, France",0.322,2.02,
Noyant-Villages,1808,1085,3615,1238,495,2322,9.2,5.7,16.5,10.4,7.5,12.6,1523,790,2968.5,9.8,6.6,14.55,6.11,10.08,7.72,0.4304,49228,49490,Maine-et-Loire,"Noyant-Villages, Maine-et-Loire, France",0.308,-3.64,
Nuaillé,2502,1990,3336,2095,838,3131,11.9,8.1,18.9,9.8,6.6,12.4,2298.5,1414,3233.5,10.85,7.35,15.65,5.71,5.61,5.66,0.4404,49231,49340,Maine-et-Loire,"Nuaillé, Maine-et-Loire, France",0.371,-2.35,
Parnay,1812,1065,2535,2104,1086,3784,10.2,6.8,14.7,10.2,8.6,13.5,1958,1075.5,3159.5,10.2,7.7,14.1,6.75,5.82,6.25,0.462,49235,49730,Maine-et-Loire,"Parnay, Maine-et-Loire, France",0.213,-13.33,
Passavant-sur-Layon,1691,939,2479,1403,561,2567,12.9,8.4,22.7,11.2,8.1,15.2,1547,750,2523,12.05,8.25,18.95,9.15,9.58,9.35,0.3713,49236,49560,Maine-et-Loire,"Passavant-sur-Layon, Maine-et-Loire, France",0.229,1.59,
La Pellerine,1564,1006,2146,1244,502,2212,9.2,5.7,16.5,9.6,6.9,12.4,1404,754,2179,9.4,6.3,14.45,7.06,9.26,8.03,0.3852,49237,49490,Maine-et-Loire,"La Pellerine, Maine-et-Loire, France",0.205,-5.52,
La Plaine,2568,2020,3048,1586,634,2685,11.4,8.2,19.3,10.2,6.9,13.3,2077,1327,2866.5,10.8,7.55,16.3,5.33,7.72,6.24,0.461,49240,49360,Maine-et-Loire,"La Plaine, Maine-et-Loire, France",0.319,-1.45,
Le Plessis-Grammoire,2401,1547,3516,2868,1217,4300,12.8,9.6,19.6,12,8.3,15.8,2634.5,1382,3908,12.4,8.95,17.7,6.40,5.02,5.65,0.5827,49241,49124,Maine-et-Loire,"Le Plessis-Grammoire, Maine-et-Loire, France",0.437,13.89,
Mauges-sur-Loire,1766,750,2569,1942,777,3252,10.1,6.5,16.5,9.9,6.9,13.3,1854,763.5,2910.5,10,6.7,14.9,6.86,6.12,6.47,0.4273,49244,49410,Maine-et-Loire,"Mauges-sur-Loire, Maine-et-Loire, France",0.463,0.81,
Les Ponts-de-Cé,2882,1614,4404,3078,1549,4739,13.6,9.7,24.5,14.1,9,19,2980,1581.5,4571.5,13.85,9.35,21.75,5.66,5.50,5.58,0.4794,49246,49130,Maine-et-Loire,"Les Ponts-de-Cé, Maine-et-Loire, France",0.443,1.22,
La Possonnière,2716,1726,4042,2814,1371,4483,11.2,7.6,17,11.3,8.6,16.6,2765,1548.5,4262.5,11.25,8.1,16.8,4.95,4.82,4.88,0.4993,49247,49170,Maine-et-Loire,"La Possonnière, Maine-et-Loire, France",0.395,2.02,
Ombrée d'Anjou,1799,910,3027,1482,593,2711,9.5,6.7,15.7,9.6,7.1,12.1,1640.5,751.5,2869,9.55,6.9,13.9,6.34,7.77,6.99,0.434,49248,49520,Maine-et-Loire,"Ombrée d'Anjou, Maine-et-Loire, France",0.377,-2.24,
Le Puy-Notre-Dame,1566,1166,2304,1435,574,2628,9.7,6.4,14.9,9.5,7,12.8,1500.5,870,2466,9.6,6.7,13.85,7.43,7.94,7.68,0.4417,49253,49260,Maine-et-Loire,"Le Puy-Notre-Dame, Maine-et-Loire, France",0.259,-8.72,
Les Rairies,1881,895,2259,1765,779,3224,9.1,6.3,16.4,9.6,6.9,13.2,1823,837,2741.5,9.35,6.6,14.8,5.81,6.53,6.15,0.4705,49257,49430,Maine-et-Loire,"Les Rairies, Maine-et-Loire, France",0.346,3.68,
Rochefort-sur-Loire,2798,1825,3858,2472,989,4056,12.4,9.4,17,12,9.1,16.3,2635,1407,3957,12.2,9.25,16.65,5.32,5.83,5.56,0.4909,49259,49190,Maine-et-Loire,"Rochefort-sur-Loire, Maine-et-Loire, France",0.366,-0.47,
La Romagne,2385,1883,3217,2045,818,2977,10.1,7.3,17.7,9.8,6.6,12.6,2215,1350.5,3097,9.95,6.95,15.15,5.08,5.75,5.39,0.4241,49260,49740,Maine-et-Loire,"La Romagne, Maine-et-Loire, France",0.405,9.65,
Gennes-Val-de-Loire,2164,1261,4329,2127,851,3978,11,7.4,19.2,10.1,8.3,14.9,2145.5,1056,4153.5,10.55,7.85,17.05,6.10,5.70,5.90,0.4455,49261,49350,Maine-et-Loire,"Gennes-Val-de-Loire, Maine-et-Loire, France",0.396,-2.62,
Rou-Marson,1610,1161,3220,2168,867,3429,11.7,8.4,17.9,10.8,8.8,14.6,1889,1014,3324.5,11.25,8.6,16.25,8.72,5.98,7.15,0.4373,49262,49400,Maine-et-Loire,"Rou-Marson, Maine-et-Loire, France",0.312,-3.01,
Saint-Augustin-des-Bois,2476,1105,3823,2384,954,3446,10.7,8.3,16.6,11,7.8,16.5,2430,1029.5,3634.5,10.85,8.05,16.55,5.19,5.54,5.36,0.5101,49266,49170,Maine-et-Loire,"Saint-Augustin-des-Bois, Maine-et-Loire, France",0.389,5.68,
Saint-Barthélemy-d'Anjou,2842,1703,4009,3038,1922,4274,12.5,8.9,22.5,14.1,9.5,18.7,2940,1812.5,4141.5,13.3,9.2,20.6,5.28,5.57,5.43,0.4791,49267,49124,Maine-et-Loire,"Saint-Barthélemy-d'Anjou, Maine-et-Loire, France",0.425,3.12,
Saint-Christophe-du-Bois,2502,2012,3258,2258,1142,3064,12.5,9.4,18.6,10.9,7.8,13.7,2380,1577,3161,11.7,8.6,16.15,6.00,5.79,5.90,0.4679,49269,49280,Maine-et-Loire,"Saint-Christophe-du-Bois, Maine-et-Loire, France",0.425,5.34,
Saint-Clément-de-la-Place,3044,2032,4096,2630,1052,4000,10.4,8.4,14.8,12.6,9.1,19,2837,1542,4048,11.5,8.75,16.9,4.10,5.75,4.86,0.5078,49271,49370,Maine-et-Loire,"Saint-Clément-de-la-Place, Maine-et-Loire, France",0.402,-1.02,
Saint-Clément-des-Levées,2101,1219,4203,1911,765,3210,9.5,6.8,17.2,9.8,7.1,12.4,2006,992,3706.5,9.65,6.95,14.8,5.43,6.15,5.77,0.4558,49272,49350,Maine-et-Loire,"Saint-Clément-des-Levées, Maine-et-Loire, France",0.351,0.81,
Sainte-Gemmes-sur-Loire,2760,1574,4059,3347,1794,5582,13.4,10.3,24.2,12,8.2,16.6,3053.5,1684,4820.5,12.7,9.25,20.4,5.83,4.30,4.99,0.4711,49278,49130,Maine-et-Loire,"Sainte-Gemmes-sur-Loire, Maine-et-Loire, France",0.394,5.88,
Saint-Georges-sur-Loire,2709,1877,4219,2482,1026,4236,11,7.7,17.7,11.2,8.5,16.5,2595.5,1451.5,4227.5,11.1,8.1,17.1,4.87,5.41,5.13,0.4672,49283,49170,Maine-et-Loire,"Saint-Georges-sur-Loire, Maine-et-Loire, France",0.415,6.08,
Saint-Germain-des-Prés,2510,1063,3962,2223,889,3839,10,6.8,16.9,9.9,7.1,13.3,2366.5,976,3900.5,9.95,6.95,15.1,4.78,5.34,5.05,0.4461,49284,49170,Maine-et-Loire,"Saint-Germain-des-Prés, Maine-et-Loire, France",0.364,-0.21,
Saint-Jean-de-la-Croix,2761,1532,3987,2139,927,3419,11.2,7.9,19.9,9.8,7.1,13.1,2450,1229.5,3703,10.5,7.5,16.5,4.87,5.50,5.14,0.4076,49288,49130,Maine-et-Loire,"Saint-Jean-de-la-Croix, Maine-et-Loire, France",0.29,-2.17,
Saint-Just-sur-Dive,1612,1164,2441,1442,577,2543,10.9,7.6,18.5,9.6,6.3,11.4,1527,870.5,2492,10.25,6.95,14.95,8.11,7.99,8.06,0.3865,49291,49260,Maine-et-Loire,"Saint-Just-sur-Dive, Maine-et-Loire, France",0.229,-2.53,
Val-du-Layon,2448,1125,3782,2162,865,3487,10.9,7.8,15.7,11.4,9,16.3,2305,995,3634.5,11.15,8.4,16,5.34,6.33,5.80,0.4051,49292,49190,Maine-et-Loire,"Val-du-Layon, Maine-et-Loire, France",0.397,3.27,
Saint-Lambert-la-Potherie,2890,1984,4297,2867,1147,3985,12.7,8.7,18.7,13.7,11.4,18.8,2878.5,1565.5,4141,13.2,10.05,18.75,5.27,5.73,5.50,0.5657,49294,49070,Maine-et-Loire,"Saint-Lambert-la-Potherie, Maine-et-Loire, France",0.411,8.42,
Saint-Léger-de-Linières,2890,1995,4266,2927,1302,4035,12.9,9.2,21.1,14.1,11.6,19.2,2908.5,1648.5,4150.5,13.5,10.4,20.15,5.36,5.78,5.57,0.5603,49298,49070,Maine-et-Loire,"Saint-Léger-de-Linières, Maine-et-Loire, France",0.458,9.38,
Saint-Léger-sous-Cholet,2461,1953,3276,2417,1094,3387,12.3,9.3,18.5,11.1,8.2,14.4,2439,1523.5,3331.5,11.7,8.75,16.45,6.00,5.51,5.76,0.4468,49299,49280,Maine-et-Loire,"Saint-Léger-sous-Cholet, Maine-et-Loire, France",0.451,10.01,
Sèvremoine,1751,971,2554,2057,823,3175,11.5,8.2,20,10.2,6.9,13.2,1904,897,2864.5,10.85,7.55,16.6,7.88,5.95,6.84,0.3998,49301,49450,Maine-et-Loire,"Sèvremoine, Maine-et-Loire, France",0.523,0.32,
Saint-Macaire-du-Bois,1613,1205,2212,1556,623,3113,9,6.4,15,9.9,7.2,13.1,1584.5,914,2662.5,9.45,6.8,14.05,6.70,7.63,7.16,0.4252,49302,49260,Maine-et-Loire,"Saint-Macaire-du-Bois, Maine-et-Loire, France",0.3,-3.28,
Saint-Martin-du-Fouilloux,2840,1964,4241,2801,1429,4126,12.7,8.7,18.8,13.5,10.9,18.7,2820.5,1696.5,4183.5,13.1,9.8,18.75,5.37,5.78,5.57,0.5183,49306,49170,Maine-et-Loire,"Saint-Martin-du-Fouilloux, Maine-et-Loire, France",0.391,1.26,
Loire-Authion,2398,1448,3488,2635,1173,4105,11.7,8.4,17.3,11.9,9.4,16,2516.5,1310.5,3796.5,11.8,8.9,16.65,5.85,5.42,5.63,0.4912,49307,49800,Maine-et-Loire,"Loire-Authion, Maine-et-Loire, France",0.504,4.85,
Saint-Melaine-sur-Aubance,2861,2205,3754,3055,1758,4697,13,8.9,19.2,12,8.1,16.4,2958,1981.5,4225.5,12.5,8.5,17.8,5.45,4.71,5.07,0.4569,49308,49610,Maine-et-Loire,"Saint-Melaine-sur-Aubance, Maine-et-Loire, France",0.421,8.28,
Saint-Paul-du-Bois,2244,1824,2760,1237,495,2468,11.3,8.2,19.8,9.7,6.3,12.6,1740.5,1159.5,2614,10.5,7.25,16.2,6.04,9.41,7.24,0.4374,49310,49310,Maine-et-Loire,"Saint-Paul-du-Bois, Maine-et-Loire, France",0.288,0.17,
Saint-Philbert-du-Peuple,1897,1130,3794,1819,857,3165,10.7,7.9,19.2,10,8,13.1,1858,993.5,3479.5,10.35,7.95,16.15,6.77,6.60,6.68,0.4173,49311,49160,Maine-et-Loire,"Saint-Philbert-du-Peuple, Maine-et-Loire, France",0.35,1.7,
Verrières-en-Anjou,2672,1836,3479,2937,1605,4349,12.8,9.1,21.1,13.6,10.8,18.5,2804.5,1720.5,3914,13.2,9.95,19.8,5.75,5.56,5.65,0.5167,49323,49112,Maine-et-Loire,"Verrières-en-Anjou, Maine-et-Loire, France",0.442,12.55,
Sarrigné,2620,1722,3439,2554,1327,3878,11.9,9,17.7,11.5,8.6,16.2,2587,1524.5,3658.5,11.7,8.8,16.95,5.45,5.40,5.43,0.5171,49326,49800,Maine-et-Loire,"Sarrigné, Maine-et-Loire, France",0.392,9.33,
Saumur,1873,989,3022,2148,950,3591,10.7,7.2,18.1,11,7.9,16.4,2010.5,969.5,3306.5,10.85,7.55,17.25,6.86,6.15,6.48,0.486,49328,49400,Maine-et-Loire,"Saumur, Maine-et-Loire, France",0.368,-3.87,
Savennières,2735,1716,4078,2900,1160,5230,13.1,10.2,23.3,12.5,8.8,16.9,2817.5,1438,4654,12.8,9.5,20.1,5.75,5.17,5.45,0.5244,49329,49170,Maine-et-Loire,"Savennières, Maine-et-Loire, France",0.32,0.97,
Sceaux-d'Anjou,2096,1535,2835,2372,949,4024,10.3,8.3,14.2,12.8,8.7,15.2,2234,1242,3429.5,11.55,8.5,14.7,5.90,6.48,6.20,0.416,49330,49330,Maine-et-Loire,"Sceaux-d'Anjou, Maine-et-Loire, France",0.359,-1.86,
Segré-en-Anjou Bleu,1851,875,3455,1591,636,2790,9.9,6,16,10.8,8.1,16.5,1721,755.5,3122.5,10.35,7.05,16.25,6.42,8.15,7.22,0.4276,49331,49500,Maine-et-Loire,"Segré-en-Anjou Bleu, Maine-et-Loire, France",0.447,0.23,
La Séguinière,2168,1343,3110,2250,981,3403,11.6,8.1,20.8,11.4,7.9,15.4,2209,1162,3256.5,11.5,8,18.1,6.42,6.08,6.25,0.4129,49332,49280,Maine-et-Loire,"La Séguinière, Maine-et-Loire, France",0.439,2.61,
Seiches-sur-le-Loir,1975,1453,2579,2116,878,3350,10.6,7.1,19.2,12.5,9.5,16.9,2045.5,1165.5,2964.5,11.55,8.3,18.05,6.44,7.09,6.78,0.5316,49333,49140,Maine-et-Loire,"Seiches-sur-le-Loir, Maine-et-Loire, France",0.344,-4.26,
Sermaise,2255,1376,4511,1881,838,2985,10.4,6,15.4,10.3,7.5,13.3,2068,1107,3748,10.35,6.75,14.35,5.53,6.57,6.01,0.4701,49334,49140,Maine-et-Loire,"Sermaise, Maine-et-Loire, France",0.279,6.9,
Somloire,2514,1903,3185,1416,566,2342,9.4,6.1,15.8,9.5,6.7,13.2,1965,1234.5,2763.5,9.45,6.4,14.5,4.49,8.05,5.77,0.4295,49336,49360,Maine-et-Loire,"Somloire, Maine-et-Loire, France",0.322,-2.45,
Soulaines-sur-Aubance,2837,1946,3722,2802,1121,4505,13.3,10.1,19.1,13.4,9,18.4,2819.5,1533.5,4113.5,13.35,9.55,18.75,5.63,5.74,5.68,0.4499,49338,49610,Maine-et-Loire,"Soulaines-sur-Aubance, Maine-et-Loire, France",0.36,-5.22,
Soulaire-et-Bourg,1915,1327,2551,2528,1384,3775,10.8,7.3,16.3,12.2,9.2,16.7,2221.5,1355.5,3163,11.5,8.25,16.5,6.77,5.79,6.21,0.4768,49339,49460,Maine-et-Loire,"Soulaire-et-Bourg, Maine-et-Loire, France",0.369,-0.47,
Souzay-Champigny,1595,1139,2468,1864,746,3245,10,7,13,,,,1729.5,942.5,2856.5,5,3.5,6.5,7.52,0.00,3.47,0.4166,49341,49400,Maine-et-Loire,"Souzay-Champigny, Maine-et-Loire, France",0.272,-9.08,
La Tessoualle,2605,1875,3049,2241,926,3404,12.7,8.8,17.8,11.1,8.9,16.6,2423,1400.5,3226.5,11.9,8.85,17.2,5.85,5.94,5.89,0.4536,49343,49280,Maine-et-Loire,"La Tessoualle, Maine-et-Loire, France",0.438,0.51,
Thorigné-d'Anjou,2099,1185,3229,2257,1004,4055,10.7,8.8,16.5,11.7,8.5,17.5,2178,1094.5,3642,11.2,8.65,17,6.12,6.22,6.17,0.4569,49344,49220,Maine-et-Loire,"Thorigné-d'Anjou, Maine-et-Loire, France",0.392,1.31,
Bellevigne-en-Layon,2734,1822,3678,2103,841,3881,12.1,8.6,18.5,11,9.2,15.7,2418.5,1331.5,3779.5,11.55,8.9,17.1,5.31,6.28,5.73,0.4411,49345,49380,Maine-et-Loire,"Bellevigne-en-Layon, Maine-et-Loire, France",0.442,2.03,
Tiercé,2105,1646,2797,2551,1189,4096,11.1,7.4,16.2,12.1,8.4,16.4,2328,1417.5,3446.5,11.6,7.9,16.3,6.33,5.69,5.98,0.6318,49347,49125,Maine-et-Loire,"Tiercé, Maine-et-Loire, France",0.404,3.43,
Toutlemonde,2683,2280,3253,2138,855,2810,11.7,8.3,16.7,10.7,7.8,16,2410.5,1567.5,3031.5,11.2,8.05,16.35,5.23,6.01,5.58,0.4383,49352,49360,Maine-et-Loire,"Toutlemonde, Maine-et-Loire, France",0.373,-1.5,
Trélazé,2494,1484,3881,2819,1779,4124,12.3,8.7,22.1,14,8.8,18.6,2656.5,1631.5,4002.5,13.15,8.75,20.35,5.92,5.96,5.94,0.5148,49353,49800,Maine-et-Loire,"Trélazé, Maine-et-Loire, France",0.463,8.46,
Trémentines,2467,1961,3290,2058,859,2935,12,8.7,20.8,9.8,6.6,12.5,2262.5,1410,3112.5,10.9,7.65,16.65,5.84,5.71,5.78,0.4632,49355,49340,Maine-et-Loire,"Trémentines, Maine-et-Loire, France",0.413,4.13,
Turquant,2318,1367,2951,2014,806,4028,10,6.8,16.1,10.2,8.6,13.3,2166,1086.5,3489.5,10.1,7.7,14.7,5.18,6.08,5.60,0.4568,49358,49730,Maine-et-Loire,"Turquant, Maine-et-Loire, France",0.246,-2.74,
Les Ulmes,1610,1164,3221,1885,851,2955,10.4,6.8,17,10.2,8.6,13.3,1747.5,1007.5,3088,10.3,7.7,15.15,7.75,6.49,7.07,0.4238,49359,49700,Maine-et-Loire,"Les Ulmes, Maine-et-Loire, France",0.289,-4.82,
Varennes-sur-Loire,1820,1138,2391,1877,751,3489,9,5.6,15.4,9.7,7,12.4,1848.5,944.5,2940,9.35,6.3,13.9,5.93,6.20,6.07,0.4467,49361,49730,Maine-et-Loire,"Varennes-sur-Loire, Maine-et-Loire, France",0.36,5.19,
Varrains,2747,1886,3742,2157,995,3387,10.3,6.8,13.4,10.2,8.6,13.5,2452,1440.5,3564.5,10.25,7.7,13.45,4.50,5.67,5.02,0.4556,49362,49400,Maine-et-Loire,"Varrains, Maine-et-Loire, France",0.367,4.74,
Vaudelnay,1617,1175,3233,1604,642,2718,9.9,6.5,17.4,9.7,6.2,12.4,1610.5,908.5,2975.5,9.8,6.35,14.9,7.35,7.26,7.30,0.4511,49364,49260,Maine-et-Loire,"Vaudelnay, Maine-et-Loire, France",0.325,-3.19,
Erdre-en-Anjou,1863,953,3065,2039,816,3390,9.9,6,16,9.3,6.8,12.6,1951,884.5,3227.5,9.6,6.4,14.3,6.38,5.47,5.90,0.4302,49367,49220,Maine-et-Loire,"Erdre-en-Anjou, Maine-et-Loire, France",0.424,0.59,
Vernantes,1557,1092,3114,1565,626,3131,9.2,6.3,15.9,9.8,7.4,13.6,1561,859,3122.5,9.5,6.85,14.75,7.09,7.51,7.30,0.4382,49368,49390,Maine-et-Loire,"Vernantes, Maine-et-Loire, France",0.286,0.8,
Vernoil-le-Fourrier,1551,1097,3101,1685,674,3370,9.3,5.1,16.7,10,7.9,13,1618,885.5,3235.5,9.65,6.5,14.85,7.20,7.12,7.16,0.406,49369,49390,Maine-et-Loire,"Vernoil-le-Fourrier, Maine-et-Loire, France",0.303,4.81,
Vezins,2334,1887,2907,1812,725,2879,12,8,19.9,9.7,7.5,12.3,2073,1306,2893,10.85,7.75,16.1,6.17,6.42,6.28,0.4448,49371,49340,Maine-et-Loire,"Vezins, Maine-et-Loire, France",0.376,2.7,
Lys-Haut-Layon,1631,1210,2197,1417,567,2498,9.4,6,15.7,10.1,7.1,13.8,1524,888.5,2347.5,9.75,6.55,14.75,6.92,8.55,7.68,0.4254,49373,49540,Maine-et-Loire,"Lys-Haut-Layon, Maine-et-Loire, France",0.393,-2.03,
Villebernier,1596,1143,2476,1913,833,3653,9.6,8.2,17.4,8.8,5.8,13.5,1754.5,988,3064.5,9.2,7,15.45,7.22,5.52,6.29,0.4454,49374,49400,Maine-et-Loire,"Villebernier, Maine-et-Loire, France",0.299,-5.06,
Rives-du-Loir-en-Anjou,2350,1676,3125,2663,1560,3937,11.8,9.1,17.7,11.3,8.6,14.1,2506.5,1618,3531,11.55,8.85,15.9,6.03,5.09,5.53,0.5128,49377,49140,Maine-et-Loire,"Rives-du-Loir-en-Anjou, Maine-et-Loire, France",0.442,2.53,
Vivy,1614,1138,3229,1972,842,3285,11,7.7,19.5,9.3,5.4,13,1793,990,3257,10.15,6.55,16.25,8.18,5.66,6.79,0.4577,49378,49680,Maine-et-Loire,"Vivy, Maine-et-Loire, France",0.363,0.39,
Yzernay,2589,2031,3074,1876,750,2794,11.4,8.2,19.8,9.9,6.6,12.6,2232.5,1390.5,2934,10.65,7.4,16.2,5.28,6.33,5.72,0.3847,49381,49360,Maine-et-Loire,"Yzernay, Maine-et-Loire, France",0.366,-1.4,
Ahuillé,2653,1717,4861,1749,699,2825,10.8,8.9,17.2,10.2,8.1,13.3,2201,1208,3843,10.5,8.5,15.25,4.89,7.00,5.72,0.441,53001,53940,Mayenne,"Ahuillé, Mayenne, France",0.382,2.87,
Alexain,2139,1604,3572,1412,580,2707,9.2,6,13.4,8.4,6.1,12.2,1775.5,1092,3139.5,8.8,6.05,12.8,5.16,7.14,5.95,0.4211,53002,53240,Mayenne,"Alexain, Mayenne, France",0.307,2.17,
Ambrières-les-Vallées,1632,840,3168,1174,469,2347,9.5,5.2,14.7,8.2,6.1,11.9,1403,654.5,2757.5,8.85,5.65,13.3,6.99,8.38,7.57,0.4919,53003,53300,Mayenne,"Ambrières-les-Vallées, Mayenne, France",0.284,-7.43,
Andouillé,3130,2044,4209,1469,588,2473,11.2,7.8,16.6,10.7,8.4,13.3,2299.5,1316,3341,10.95,8.1,14.95,4.29,8.74,5.71,0.4779,53005,53240,Mayenne,"Andouillé, Mayenne, France",0.38,1.89,
Argentré,2153,1463,3539,1838,735,2731,11,7.6,14.5,10.8,8.4,13.3,1995.5,1099,3135,10.9,8,13.9,6.13,7.05,6.55,0.5164,53007,53210,Mayenne,"Argentré, Mayenne, France",0.411,4.53,
Aron,1975,1515,3350,1577,631,2263,11.4,8.3,15.2,10.2,8.1,13.3,1776,1073,2806.5,10.8,8.2,14.25,6.93,7.76,7.30,0.4334,53008,53440,Mayenne,"Aron, Mayenne, France",0.384,2.35,
Arquenay,2114,1427,3476,1540,696,2690,10.2,7,16.3,8.7,6.9,12.7,1827,1061.5,3083,9.45,6.95,14.5,5.79,6.78,6.21,0.4657,53009,53170,Mayenne,"Arquenay, Mayenne, France",0.329,5,
Assé-le-Bérenger,1945,1499,3078,1145,458,2088,10.4,7.2,16.7,8.1,6.1,11.3,1545,978.5,2583,9.25,6.65,14,6.42,8.49,7.18,0.457,53010,53600,Mayenne,"Assé-le-Bérenger, Mayenne, France",0.271,-5.2,
Astillé,2051,1317,3657,1638,655,2574,10.6,8.7,16.9,10,7.2,12.5,1844.5,986,3115.5,10.3,7.95,14.7,6.20,7.33,6.70,0.4648,53011,53230,Mayenne,"Astillé, Mayenne, France",0.345,2.42,
Athée,1835,925,3324,1365,546,2611,10.2,6.9,16,8.8,6.8,11.8,1600,735.5,2967.5,9.5,6.85,13.9,6.67,7.74,7.13,0.5977,53012,53400,Mayenne,"Athée, Mayenne, France",0.276,-8.85,
Averton,1757,1288,2684,1033,413,1922,10,6.8,17.6,8.1,6.5,10.9,1395,850.5,2303,9.05,6.65,14.25,6.83,9.41,7.78,0.4635,53013,53700,Mayenne,"Averton, Mayenne, France",0.216,-6.88,
La Baconnière,2012,1302,3518,1596,639,2896,10.2,6.8,15.9,9.3,7.1,13.6,1804,970.5,3207,9.75,6.95,14.75,6.08,6.99,6.49,0.5852,53015,53240,Mayenne,"La Baconnière, Mayenne, France",0.368,2.13,
Bais,1576,856,2667,1007,403,2014,9.4,5.5,16.4,8.5,6.3,12.3,1291.5,629.5,2340.5,8.95,5.9,14.35,7.16,10.13,8.32,0.4866,53016,53160,Mayenne,"Bais, Mayenne, France",0.227,-1.93,
Val-du-Maine,1851,1009,3675,1252,501,2383,9.4,6.5,10.9,9.2,6.9,13.5,1551.5,755,3029,9.3,6.7,12.2,6.09,8.82,7.19,0.4502,53017,53340,Mayenne,"Val-du-Maine, Mayenne, France",0.32,6.24,
Ballots,1950,1186,2748,1436,574,2853,10.2,7.1,13.9,8.5,7,12.4,1693,880,2800.5,9.35,7.05,13.15,6.28,7.10,6.63,0.6374,53018,53350,Mayenne,"Ballots, Mayenne, France",0.311,1.8,
Bannes,1811,1050,2219,1149,459,2297,9.5,6.1,14.7,8.6,6.1,11.9,1480,754.5,2258,9.05,6.1,13.3,6.29,8.98,7.34,0.4464,53019,53340,Mayenne,"Bannes, Mayenne, France",0.197,-3.25,
La Bazoge-Montpinçon,2008,1545,3349,1809,810,2409,10.9,8.9,17.3,10,7.7,12,1908.5,1177.5,2879,10.45,8.3,14.65,6.51,6.63,6.57,0.4853,53021,53440,Mayenne,"La Bazoge-Montpinçon, Mayenne, France",0.375,-3.3,
La Bazouge-de-Chemeré,2009,1408,3195,1324,530,2648,10.7,7,17.9,8.4,6.8,11,1666.5,969,2921.5,9.55,6.9,14.45,6.39,7.61,6.88,0.4795,53022,53170,Mayenne,"La Bazouge-de-Chemeré, Mayenne, France",0.25,-3.7,
La Bazouge-des-Alleux,2207,1668,3652,1613,645,2766,10.7,8.8,17,9.6,6.6,11.4,1910,1156.5,3209,10.15,7.7,14.2,5.82,7.14,6.38,0.4623,53023,53470,Mayenne,"La Bazouge-des-Alleux, Mayenne, France",0.324,1.85,
